試驗藥品非監視新藥成分,報告書准,報告書不准,報告書小計
Levonorgestrel tab 1.5mg,1,0,1
Lorazepam tab 0.5mg,1,0,1
Lorazepam tab 1mg,1,0,1
Lysine acetylsalicylate inj 900mg,1,2,3
Meclofenamic cap 100mg,2,0,2
Megestrol  Ac. Susp. 40mg/ml,0,1,1
Mephenoxalone tab 200mg,6,1,7
Mequitazine tab 5mg,2,0,2
Metformin ER tab 500mg,7,0,7
Metformin ER tab 750mg,3,0,3
Metformin tab 1000mg,1,0,1
Metformin tab 500mg,9,0,9
Metformin tab 850mg,2,0,2
Methylprednisolone Inj 40mg,1,0,1
Methylprednisolone Inj 500mg,1,0,1
Methylprednisolone tab 4mg,4,0,4
Methylprednisolone tab 8mg,1,0,1
Metolazone tab 0.5mg,2,0,2
Mexiletine cap 100mg,1,0,1
Minocycline cap 100mg,3,0,3
Minocycline cap 50mg,1,2,3
Morphine sulfate continous tab 30mg,1,0,1
Naproxen CR tab 750mg,1,0,1
Naproxen EC tab 500mg,1,2,3
Naproxen SR tab 750mg,3,0,3
Naproxen tab 250mg,1,0,1
Naproxen tab 275mg,1,0,1
Naproxen tab 500mg,1,0,1
Nefopam tab 30mg,1,0,1
Niacin SR tab 500mg,1,0,1
Nicotine Patch 2.08mg/cm2,1,0,1
Nicotine Patch 52.5mg/30cm2,0,1,1
Nicotinic Acid SR tab 500mg,1,0,1
Nifedipine cap 10mg,17,4,21
Nifedipine cap 5mg,2,0,2
Nifedipine Prolonged Release tab 30mg,2,0,2
Nifedipine Retard tab 20mg,1,1,2
Nifedipine SR cap 20mg,1,1,2
Nifedipine SR tab 30mg,1,0,1
Nimetazepam tab 5mg,1,0,1
Orphenadrine ER tab 100mg ,1,0,1
Oxybutynin ER tab 5mg,2,0,2
Pentoxifylline SR tab 100mg,2,0,2
Pentoxifylline SR tab 400mg,10,0,10
Phenylpropanolamine SR cap 75mg,3,0,3
Pilocarpine tab 5 mg,1,0,1
Pipoxolan tab 10mg,1,0,1
Piracetam cap 400mg,3,0,3
Piracetam granules for oral soln 2400mg,1,0,1
Piracetam tab 1200mg,6,0,6
Pirenoxine eye drop  susp 0.05mg/ml,0,1,1
Pirenoxine Oral Solution 200mg/ml,1,0,1
Piroxicam cap 10mg,3,2,5
Piroxicam cap 20mg,2,0,2
Piroxicam tab 20mg,1,0,1
Prednisolone Sodium Phosphate Oral Solution 1.344mg/ml,1,0,1
Propafenone tab 150mg,1,0,1
Propranolol tab 10mg,0,1,1
Propranolol tab 40mg,1,0,1
Pseudoephedrine HCl SR tab 120mg,1,0,1
Pyrazinamide tab 500mg,1,2,3
Rifampin 300mg+isoniazid 150mg ,1,0,1
Rifampin cap 300mg,8,1,9
Rifampin cap 450mg,2,0,2
Salbutamol CR tab 4mg,1,0,1
Salmon calcitonin nasal spray,0,2,2
Scopolamine patch 1.5mg/cm2,0,2,2
Selegiline tab 5mg,1,1,2
Sulfasalazine tab 500mg,1,1,2
Sulindac tab 200mg,4,0,4
Sulpiride tab 200mg,4,0,4
Sulpiride tab 400mg,1,0,1
Sulpiride tab 50mg,4,0,4
Tamoxifen tab 10mg,1,0,1
Terbutaline tab 2.5mg,1,0,1
Theophylline SR cap 250mg,1,0,1
Theophylline SR tab 200mg,1,0,1
Theophylline SR tab 250mg,1,0,1
Theophylline SR tab 400mg,0,1,1
Tiaprofenic acid tab 200mg ,2,0,2
Ticlopidine tab 100mg,2,1,3
Ticlopidine tab 250mg,1,0,1
Tolperisone tab 150mg,1,0,1
Tranexamic acid cap 250mg,1,0,1
Valproate sodium 333mg+Valproic acid 145mg SR tab 500mg,3,0,3
Valproate Sodium tab 500mg,1,0,1
Verapamil SR cap 120mg,1,0,1
Verapamil SR tab 240mg,1,0,1
Warfarin sodium tab 5mg,1,0,1
總               計,521,67,588
