試驗藥品監視新藥成分,報告書准,報告書不准,報告書小計
Candesartan Cilexetil Tab 8mg,1,0,1
Captopril tab 100mg,1,0,1
Captopril tab 12.5mg,0,1,1
Captopril tab 25mg,13,3,16
Captopril tab 50mg,2,0,2
Carvedilol tab 25mg,10,0,10
Carvedilol tab 6.25mg,5,0,5
Cefepime Inj 500mg,4,0,4
Cefixime cap 100mg,2,0,2
Ceftazidime inj 1gm,5,2,7
Ceftriaxone inj 1gm/vial,3,0,3
Ceftriaxone inj 500mg/vial,2,0,2
Cefuroxime Axetil tab 250mg,4,0,4
Cefuroxime inj 750mg,5,0,5
Celecoxib cap 200 mg,2,0,2
Cetirizine tab 10mg,15,7,22
Cetirizine5mg/Pseudoephed120mg ER tab,3,0,3
Cetirizine5mg/Pseudoephed120mg SR cap,1,0,1
Cilostazol tab 100mg,2,0,2
Cilostazol tab 50mg,4,0,4
Ciprofloxacin tab 250mg,3,5,8
Ciprofloxacin tab 500mg,5,0,5
Ciprofloxacin tab 750mg,2,0,2
Cisapride tab 10mg,3,0,3
Cisapride tab 5mg,8,0,8
Citalopram tab 20mg,7,0,7
Clarithromycin tab 250mg,6,0,6
Clarithromycin tab 500mg,3,1,4
Clarithromycin XL tab 500mg,2,0,2
Clodronate Disodium cap 400mg,1,0,1
Clopidogrel tab 75mg,16,1,17
Clozapine tab 100mg,4,0,4
Cyclobenzapine tab 10mg,2,0,2
Cyclosporin cap 100mg,2,0,2
Cyclosporin cap 25mg,1,0,1
Desloratadine Syrup 0.5 mg/ml,1,0,1
Desloratadine tab 5mg,4,0,4
Diclofenac K tab 25mg,2,0,2
Diclofenac K tab 50mg,6,2,8
Donepezil OD tab 5mg,1,0,1
Donepezil tab 10mg,4,0,4
Donepezil tab 5mg,4,0,4
Doxazosin  SR tab 4mg,1,0,1
Doxazosin  tab 2mg,9,0,9
Doxazosin XL tab 4 mg,1,0,1
Duloxetine cap 30mg,2,0,2
Ebastine tab 10mg,1,0,1
Ebastine tab 5mg,1,0,1
Efavirenz tab 400mg,0,1,1
Efavirenz tab 600mg,2,0,2
Enalapril M. /Felodipine ER tab 5mg/5mg,1,0,1
Enalapril Maleate /HCTZ tab 10/25mg,1,0,1
Enalapril Maleate tab 20mg,10,2,12
Enalapril Maleate tab 5mg,1,0,1
Entacapone tab 200mg,1,0,1
Entecavir monohydrate tab 0.53mg,1,0,1
Entecarvir tab 0.5 mg,2,0,2
Entecavir tab 1mg,1,0,1
Escitalopram Oral solution 1mg/mL ,1,0,1
Escitalopram tab 10mg,7,0,7
Eszopiclone tab 2mg,1,0,1
Etodolac SR tab 400mg,3,0,3
Etoricoxib tab 60mg,1,0,1
Famotidine granule 20mg/gm,1,0,1
Famotidine inj 10mg,1,0,1
Famotidine lyo-inj 20mg/vial,1,0,1
Famotidine tab 20mg,9,0,9
Famotidine tab 40mg,8,0,8
Felodipine ER/SR tab 10mg,4,0,4
Felodipine ER/SR tab 5mg,7,2,9
Fenofibrate cap 100mg,2,0,2
Fenofibrate cap 160mg,4,1,5
Fenofibrate cap 200mg,4,0,4
Fenofibrate tab 160mg,1,0,1
Fentanyl patch 25 μg/h,1,0,1
Fentanyl transdermal patch 50 μg/h,1,0,1
Fexofen. 60mg/Pseudoephed. 120mg SR tab ,1,0,1
Fexofenadine tab 180mg,4,0,4
Fexofenadine tab 60mg,5,0,5
Finasteride tab 5mg,11,2,13
Fluconazole cap 150mg,6,1,7
Fluconazole cap 200mg,1,0,1
Fluconazole cap 50mg,1,0,1
Fluconazole cap 50mg,3,0,3
Fluoentixol/Melitrancen S.C. Tab 0.5mg/10mg,1,0,1
Fluoxetine cap 20mg,12,1,13
Fluoxetine tab 20mg,0,1,1
Flurbiprofen tab 100mg,2,0,2
Flurbiprofen tab 50mg,1,0,1
Flutamide tab 250mg,1,0,1
Fluvastatin tab 80mg,1,0,1
Fluvoxamine maleate tab 100mg ,1,0,1
Fluvoxamine maleate tab 50mg ,3,0,3
Formoterol fumarate tab 40mg,2,0,2
Fosinopril tab 10mg,2,2,4
Fosinopril tab 20mg,1,0,1
Gabapentin cap 300mg,3,0,3
Gabapentin cap 400mg,1,0,1
Gabapentin oral soln 50mg/ml,1,0,1
Gabapentin tab 600mg,2,0,2
Gabapentin tab 800mg,2,0,2
Galantamine tab 8mg,2,0,2
Gemfibrozil cap 300mg,5,1,6
Gemfibrozil tab 300mg,1,0,1
Gemfibrozil tab 600mg,6,0,6
Gestrinone cap 2.5mg,2,1,3
Glimepiride /Metformin tab 2mg/500mg,2,1,3
Glimepiride tab 2mg,11,1,12
Glimepiride tab 4mg,1,0,1
Glyburide/Metformin tab 2.5mg/500mg,1,0,1
Granisetron tab 1mg,1,0,1
Imatinib Mesylate tab 100mg,2,0,2
Imidapril tab 5mg,0,2,2
Irbesartan tab 150mg,6,0,6
Irbesartan tab 300mg,3,0,3
Itraconazole cap 100mg,1,0,1
Ketoconazole tab 200mg,9,0,9
Ketorolac cap 10mg,1,0,1
Ketorolac inj 15mg/ml,1,0,1
Ketorolac inj 30mg/ml,6,0,6
Ketorolac tab 10mg,3,0,3
Lacidipine tab 4mg,2,0,2
Lamivudine tab 100mg,3,0,3
Lamivudine tab 150mg,1,0,1
Lamotrigine tab 100mg,2,1,3
Lamotrigine tab 50mg,3,1,4
Lansoprazole cap 15mg,1,0,1
Lansoprazole cap 30mg,6,0,6
Lercanidipine tab 10mg,3,1,4
Letrozole tab 2.5 mg,1,0,1
Levetiracetam Oral Solution 100mg/ml,1,0,1
Levetiracetam tab 500mg,5,0,5
Levetiracetam XR tab 750mg,1,0,1
Levocetirizine tab 5mg,11,0,11
Levofloxacin IV Solution for Infusion 5 mg/ml,1,0,1
Levofloxacin tab 100mg,2,0,2
Levofloxacin tab 500mg,5,0,5
Lisinopril tab 10mg,5,0,5
Lisinopril tab 20mg,1,0,1
Loratadine 5mg/pseudoephed. 120mg SR tab,2,0,2
Loratadine oral distint tab 10mg,1,0,1
Loratadine syrup 1mg/ml,3,0,3
Loratadine tab 10mg,8,0,8
Loratadine10mg/pseudoephed. 240mg SR tab,1,0,1
Lornoxicam tab 8mg,1,0,1
Losartan /Hydrochlorothiazide tab 50mg/12.5mg ,6,0,6
Losartan tab 100mg,1,2,3
Losartan tab 50mg,16,4,20
Lovastatin tab 20mg,6,1,7
Meloxicam inj 15mg/1.5ml,1,0,1
Meloxicam tab 15mg,4,0,4
Meloxicam tab 7.5mg,9,1,10
Memantine oral drop 10mg/g,2,0,2
Memantine oral solution 2mg/ml,1,0,1
Memantine tab 10mg,3,2,5
Midazolam inj 5mg/ml,1,0,1
Mifeprostone tab 200mg,1,0,1
Miglitol tab 100mg,1,0,1
Miglitol tab 50mg,1,0,1
Milnacipran cap 50mg,2,0,2
Mirtazapine disint tab 15mg,2,0,2
Mirtazapine orally dis tab 30mg,4,0,4
Mirtazapine tab 30mg,7,0,7
Misoprostol tab 200ug,1,0,1
Mitiglinide tab 10mg,1,0,1
Moclobemide tab 150mg,3,1,4
Montelukast oral granules 4mg,1,0,1
Montelukast Chewable tab 5mg,1,0,1
Montelukast tab 10mg,6,0,6
Montelukast tab5mg,4,1,5
Mosapride tab 5mg,14,0,14
Moxifloxacin tab 400mg,3,0,3
Mycophenolate cap 250mg,3,0,3
Nabumetone tab 500mg,7,0,7
Nabumetone tab 750mg,1,0,1
Nateglinide tab 120mg,2,0,2
Nateglinide tab 60mg,4,0,4
Nevirapine tab 200mg,1,0,1
Niacin/Lovastatin SR tab 1000mg/20mg,0,1,1
Niacin/Lovastatin SR tab 500mg/20mg,1,1,2
Nicardipine tab 20mg,2,0,2
Nicorandil tab 5mg,5,0,5
Nicotine Patch 35mg/20cm2,1,0,1
Nimesulide tab 100mg,3,1,4
Nimodipine tab 30mg,1,1,2
Nitrendipine tab 10mg,3,0,3
Nizatidine cap 150mg,1,0,1
Nordazepam tab 5mg,1,0,1
Norfloxacin cap 400mg,2,0,2
Norfloxacin tab 100mg,3,1,4
Norfloxacin tab 200mg,3,1,4
Ofloxacin tab  200mg,4,0,4
Ofloxacin tab 100mg,2,0,2
Ofloxacin tab 400mg,1,0,1
Olanzapine OD tab 10mg,1,0,1
Olanzapine OD tab 5mg,1,0,1
Olanzapine oral dis. tab 5mg,1,0,1
Olanzapine tab 10mg ,7,1,8
Olanzapine tab 5mg ,5,0,5
Olmesartan Medoxomil tab 20mg,1,0,1
Olmesartan Medoxomil tab 250mg,1,0,1
Omeprazole cap 20mg,3,0,3
Omeprazole tab 20mg,2,1,3
Ondansetron tab 8mg,1,0,1
Otilonium Br tab 40mg,1,0,1
Oxatomide tab 30mg,2,0,2
Oxcarbazepine oral susp. 60mg/ml,1,0,1
Oxcarbazepine tab 300mg,3,0,3
Oxcarbazepine tab 600mg,0,2,2
Pantoprazole Gastro-Resistant tab 40mg,1,0,1
Pantoprazole sodium sesquihydrate Enteric-coated tab 40mg,1,0,1
Pantoprazole tab 40mg,5,1,6
Pantoprazole tab 45.1mg,0,1,1
Paricalcitol Cap 4µg,1,0,1
Paroxetine tab 20mg,7,1,8
Peridopril/Indapamide tab 4mg/12.5mg,1,0,1
Perindopril tab 4mg,3,2,5
Perindopril tab 8mg,1,0,1
Perindopril tert-butylamine salt Tab 8mg,1,1,2
Pioglitazone /Metformin tab 15/850mg,1,0,1
Pioglitazone tab 30mg,15,1,16
Piperacillin inj 2gm,2,0,2
Piperacillin/ Tazobactam inj 2gm/0.25gm,2,0,2
Piperacillin/ Tazobactam inj 4gm/0.5gm,1,0,1
Pitavastatin tab 2mg ,1,0,1
Pramipexole dihydrochloride monohydrate Tab 0.25mg,1,0,1
Pravastatin tab 10mg,1,0,1
Pravastatin tab 20mg,3,0,3
Pravastatin tab 40mg,5,0,5
Pravastatin tab 5mg,3,0,3
Pregabalin hard cap 75mg,1,0,1
Procaterol tab 25mcg,4,2,6
Procaterol tab 50mcg,2,0,2
Propacetamol inj. Powder 1g,1,0,1
Propiverine Hydrochloride tab 15mg,1,0,1
Pseudoephedrine/Desloratadine E.R.F.C. tab 240/5mg ,1,0,1
Quetiapine tab 100mg,3,0,3
Quetiapine tab 200mg,7,0,7
Quetiapine tab 25mg,5,1,6
Rabeprazole tab 20mg,3,1,4
Ramipril Cap 2.5mg,2,0,2
Ramipril tab 10mg,7,0,7
Ranitidine inj 25mg/ml,2,0,2
Ranitidine inj 50mg,1,0,1
Ranitidine tab 150mg,6,0,6
Ranitidine tab 300mg,5,1,6
Ranolazine ER tab 500mg,1,0,1
Rasagiline tab 1.56mg,1,0,1
Repaglinide tab 1mg,6,0,6
Repaglinide/ Metformin HCl F.C. Tab 1mg/500mg,1,0,1
Ribavirin cap 200mg,5,2,7
Ribavirin tab 200mg,0,1,1
Riluzole tab 50mg,1,0,1
Risedronate Sodium F.C. Tab 35mg,1,0,1
Risperidone oral soln 1mg/ml,2,0,2
Risperidone tab 2mg,11,1,12
Rivastigmine cap 4.5mg,1,0,1
Rivastigmine oral soln 3.2mg/ml,1,0,1
Rizatriptan tab 10mg,1,0,1
Rizatriptan tab 5mg,1,0,1
Rosiglitazone tab 4mg,7,0,7
Rosuvastatin tab 10.4mg,1,0,1
Rosuvastatin tab 10mg,6,1,7
Sertraline tab 50mg,7,0,7
Sertralineoral conc 20mg/ml,1,0,1
Sibutramine cap 10mg,1,0,1
Sibutramine cap 15mg,11,0,11
Sildenafil tab 100mg,5,0,5
Sildenafil tab 20mg,1,0,1
Silodosin cap 4mg,1,0,1
Silodosin tab 4mg,1,0,1
Simvastatin tab 10mg,1,0,1
Simvastatin tab 20mg,13,1,14
Simvastatin tab 40mg,5,0,5
Simvastatin tab 80mg,1,0,1
Sitagliptin phosphate tab 100mg,1,0,1
Sodium Phenylbutyrate Tab 500mg,1,0,1
Solifenacin succinate tab 5mg,1,0,1
Sulbactam inj 0.5gm/vial,2,0,2
Sulbactam powder inj 500mg,1,0,1
Tamsulosin OD tab 0.2mg,1,0,1
Tamsulosin SR cap 0.2mg,5,0,5
Tamsulosin SR tab 0.2mg,2,0,2
Tegafur & Uracil cap 100mg/224mg,1,0,1
Telmisartan tab 40mg,1,0,1
Temozolomide cap 100mg,1,0,1
Temozolomide Cap 20mg,1,0,1
Tenoxicam tab 20mg,2,0,2
Terazosin tab 2mg,9,0,9
Terbinafine tab 250mg,5,0,5
Thalidomide cap 50mg,1,0,1
Tiagabine tab 10mg,1,0,1
Tizanidine tab 2mg,4,1,5
Tizanidine tab 4mg,1,0,1
Tolterodine tab 2mg,2,0,2
Topiramate tab 100mg,7,0,7
Topiramate tab 25mg,2,0,2
Torsemide tab 20mg,1,0,1
Tramadol cap 50mg,5,0,5
Tramadol inj  50mg/ml,3,0,3
Tramadol SR tab 100mg,3,0,3
Tramadol/Acetaminophen tab 37.5mg/32.5mg,2,0,2
Tranilast cap 100mg,1,0,1
Trazodone tab 100mg,3,0,3
Trazodone tab 50mg,3,0,3
Valaciclovir tab 1g,1,0,1
Valaciclovir tab 500mg,2,0,2
Valacyclovir tab 1000mg,0,1,1
Valsartan / Hydrochlorothiazide cap 80mg/12.5mg,1,0,1
Valsartan / Hydrochlorothiazide tab 80mg/12.5mg,1,1,2
Valsartan cap 80mg,2,1,3
Valsartan tab  80mg,7,0,7
Valsartan tab 160mg,7,0,7
Venlafaxine S.R. cap 75 mg,1,0,1
Venlafaxine tab 37.5mg,4,0,4
Venlafaxine XR cap 75mg,8,1,9
Zaleplon cap 10mg,8,1,9
Zaleplon Tab 10mg,1,0,1
Zolpidem ER tab 12.5mg,1,0,1
Zolpidem tab 10mg,16,3,19
Zopiclone tab 7.5mg,5,1,6
Zotepine tab 50mg,2,0,2
總             計,1179,109,1288
