主要成分,健保藥品代碼,備註,分裝,包裝規格,售價單位,售價單價,有效期間,管制級別,藥品名稱,藥品英文名稱,適應症
吩坦尼 4.8mg/patch,B024889311,(暫停供應),,5片/盒,片,355,如標籤,2,”漢姆”吩坦尼穿皮貼片劑25微公克/小時 ,Fentanyl HPQ 25mcg/hr Transdermal Patch,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛
吩坦尼 5mg/patch,A0517173CS,,,5片/盒,片,430,二年,2,“管制藥品廠”吩坦尼穿皮貼片劑50微公克/小時,Fentany Transdermal Patch 50mcg/hr “PPCD”,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛
吩坦尼8.4mg/patch,B0248423CS,(暫停供應),,5片/盒,片,670,如標籤,2,”楊森”多瑞喜穿皮貼片劑50微公克/小時,Durogesic D- TRANS transdermal patch 50mcg/h,需要使用類鴉片製劑控制的慢性疼痛和頑固性疼痛
阿華吩坦尼0.544mg/ml,,,,2ml/安瓿、 5支/盒,支,150,如標籤,2,阿華吩坦尼注射液,Alfentanil Injection；Rapifen Injection,短效麻醉性止痛劑及麻醉誘導劑
鹽酸古柯鹼,,,,10Gm/瓶,公克,800,如標籤,1,鹽酸古柯鹼,Cocaine Hydrochloride,局部麻醉劑(調劑或製劑用原料)
磷酸可待因,,,,5000Gm/桶、1000Gm/罐、500Gm/罐、50Gm/罐、10Gm/罐,公克,50,如標籤,2,磷酸可待因,Codeine Phosphate,鎮咳、鎮痛(調劑或製劑用原料)
磷酸可待因15mg/ml,A005889209,,,1ml/安瓿、 10支/盒,支,15,三年,3,磷酸可待因注射液15毫克/毫升,Codeine Phosphate Injection 15 mg/ml,鎮咳、鎮痛
磷酸可待因15mg/ Tab,A005857100,,,100Tab/盒 ,粒,1.9,二年,2,磷酸可待因錠15毫克,Codeine Phosphate Tablets 15 mg,鎮咳、鎮痛
磷酸可待因30mg/ Tab,A005865100,,,100Tab/盒,粒,2.4,二年,2,磷酸可待因錠30毫克,Codeine Phosphate Tablet 30 mg,鎮咳、鎮痛
鹽酸配西汀　,,(暫停供應),,250毫克/瓶,瓶,900,,2,鹽酸配西汀對照標準品,,檢驗用
鹽酸嗎啡,,(暫停供應),,250毫克/瓶,瓶,1050,,1,鹽酸嗎啡對照標準品,,檢驗用
磷酸可待因,,(暫停供應),,250毫克/瓶,瓶,875,,2,磷酸可待因對照標準品,,檢驗用
鹽酸甲基安非他命,,(暫停供應),,500毫克/瓶,瓶,983,,2,鹽酸甲基安非他命比對標準品,,檢驗用
