編號,通報時間,中文品名,英文品名,許可證字號,成分學名,劑型劑量,許可證持有藥商,短缺原因,預估解決時間,備註
12,2012,速復滴劑　,SOFRADEX DROPS,衛署藥輸字第021518號,"FRAMYCETIN (SULFATE) SOFRAMYCIN(SULFATE), DEXAMETHASONE SODIUM SULFOBENZOATE M-, GRAMICIDIN",8ML,賽諾菲股份有限公司,製造廠供貨不及,已恢復供貨,
13,2012,石立消膠囊250毫克,SULISOU CAPSULES 250MG,衛署藥製字第031953號,CHENODEOXYCHOLIC ACID,250MG,國嘉製藥工業股份有限公司　,原料短缺暫時缺貨,已恢復供貨,
14,2012,吸必擴都保定量粉狀吸入劑 320/9 μG/DOSE,SYMBICORT TURBUHALER 320/9 μG/DOSE,衛署藥輸字第023980號,"FORMOTEROL FUMARATE DIHYDRATE, BUDESONIDE",320/9μG,臺灣阿斯特捷利康股份有限公司,廠商缺貨,已恢復供貨,
15,2012,泰寧注射劑　,TIENAM INJECTION,衛署藥輸字第019279號,"IMIPENEM, CILASTATIN",250MG、500MG,美商默沙東藥廠股份有限公司台灣分公司,製造廠出貨延遲,已恢復供貨,
16,2012,優達命注射液,UTAMINE INJECTION,衛署藥製字第038707號,DOBUTAMINE,20ML,優良化學製藥股份有限公司,廠房改建導致無法供貨,有同成份替代藥品使用，暫無醫療上問題。,
17,2012,黴飛凍晶注射液200公絲,VFEND 200MG FOR SOLUTION FOR INFUSION,衛署藥輸字第023648號,VORICONAZOLE,200MG,輝瑞大藥廠股份有限公司,製造廠出貨延誤,已恢復供貨,
18,2012,維他命乙複方糖衣錠,"VITAMIN B COMPLEX S.C. TABLETS ""Y.C.""",衛署藥製字第033182號,"NIACINAMIDE (NICOTINAMIDE), THIAMINE (VITAMIN B1), RIBOFLAVIN (VIT B2), VITAMIN B6 (HCL FROM YEAST CONC.), CYANOCOBALAMIN (VIT B12), PANTOTHENATE CALCIUM",x,元宙化學製藥股份有限公司,廠商缺貨,已恢復供貨,
19,2012,樂無喘凍晶注射劑150毫克,Xolair 150 mg powder and solvent for solution for injection,衛署菌疫輸字第000835號,OMALIZUMAB,150MG,台灣諾華股份有限公司,製造廠出貨延誤,已恢復供貨,
20,2012,利達 寧神平注射液,"DIAZEPAM INJECTION ""LITA""",衛署藥製字第010547號,DIAZEPAM,2 ML,利達製藥股份有限公司,原廠無法供貨,經評估國內無替代藥品，已徵得有意願供應之藥商,
22,2012,利達平注射劑,RETARPEN,衛署藥輸字第016989號,PENICILLIN G BENZATHINE LECITHINIZED,2.4 MIU,創富國際有限公司,原廠停產,經評估國內無替代藥品，已徵得有意願供應之藥商,
23,2012,戒酒發泡錠,Antabus,專案進口藥品,,x,專案進口藥品,原協助專案進口支廠商不再代理,經評估後建議使用替代藥品：Naltrexone、Acamprosate、Nalmefene、Topiramate、Baclofen、SSRI類、Ondansetron等,
24,2012,易莎平注射劑,IXEMPRA for Injection,衛署藥輸字第025053號,IXABEPILONE,15MG、/45MG,臺灣必治妥施貴寶股份有限公司,廠商停產,經評估後建議使用替代藥品：(1)GEMCITABINE HCl；(2)CAPECITABINE,
21,2012,痡路摩閃爍ＴＣ９９Ｍ注射劑,PULMOLITE TECHNETIUM TC99M AGGREGATED ALBUMIN KIT STERILE DIAGNOSTIC FOR INTRAVENOUS USE,衛署藥輸字第R00076號,"ALBUMIN HUMAN, ALBUMIN",x,昶洋貿易股份有限公司,原廠停產,經評估國內無替代藥品，已徵得有意願供應之藥商,
25,2012,磷酸鉀注射液,"POTASSIUM PHOSPHATE INJECTION ""U.L.""",衛署藥製字第021343號,POTASSIUM PHOSPHATE,20 ML,優良化學製藥股份有限公司,廠商停產,經評估後建議使用替代藥品：SODIUM PHOSPHATE DIBASIC ANHYDROUS,
26,2012,保樂胎蒙戊錠,Prostarmon-E,衛署藥製字第041249號,DINOPROSTONE BETA- CYCLODEXTRIN,0.5MG,仁興化學製藥股份有限公司,廠商缺貨,經評估後建議使用替代藥品：(1)DINOPROSTONE(2) Oxytocin,
27,2012,利甫蓋素濃縮注射液,REPLAGAL,罕菌疫輸字第000004號,AGALSIDASE ALFA,3.5ml,科懋生物科技股份有限公司,藥證變更,經評估後建議使用替代藥品：AGALSIDASE,
28,2012,治疥芬軟膏,SCALPHEN OINTMENT (MESULPHEN),衛署藥製字第019422號,MESULPHEN,330MG/G,杏輝藥品工業股份有限公司,廠商停產,"經評估後建議使用替代藥品：HYDROCORTISONE,CROTAMITON",
29,2012,明礬沉澱破傷風類毒素、吸著破傷風白喉混合類毒素(成人用)、吸著白喉破傷風混合類毒素,Tetanus Toxoid Alum Precipitated、 Tetanus & Diphtheria Toxoids Adsorbed（Adult Use）、Diphtheria & Tetanus Toxoids Adsorbed,衛署菌疫製字第000048號、衛署菌疫製字第000088號、衛署菌疫製字第000020號,TETANUS TOXOID、DIPHTHERIA TOXOID、DIPHTHERIA TOXOID,1ML、3MG,疾病管制局,硬體老舊，無法符合法規規定，101年起不再生產,經評估後建議使用替代藥品：TETANUS TOXOID ，後兩種預計102年下半年可生產出貨,
30,2013.01,艾黴素注射劑１０公絲　〝速溶〞,ADRIBLASTINA RD,衛署藥輸字第018580號,DOXORUBICIN HCL,10MG/注射劑,輝瑞大藥廠,製造廠產程安排不及，致暫時缺貨,有同成份替代藥品使用，暫無醫療上問題。,
31,2013.01,安保寧錠２毫克,APO-HALOPERIDOL 2MG TABLETS　,衛署藥輸字第019501號,HALOPERIDOL,2MG,鴻汶醫藥實業有限公司,廠商無法供貨,有同成份替代藥品使用，暫無醫療上問題。,
32,2013.01,25%人體正常血清白蛋白注射劑　,"BUMINATE 25% ALBUMIN (HUMAN) USP, 25% SOLUTION",衛署菌疫輸字第000271號,ALBUMIN HUMAN NORMAL SERUM,50ml,百特醫療產品股份有限公司　,廠商無法供貨,有同成份替代藥品使用，暫無醫療上問題。,
33,2013.01,可氯松眼藥膏,"CHLORSON EYE OINTMENT ""OASIS""",衛署藥製字第022920號,"CHLORAMPHENICOL, HYDROCORTISONE ACETATE",3.5MG,綠洲化學工業有限公司,廠商因興建新廠缺貨,已恢復供貨,
34,2013.01,康體邁新眼藥膏,CODEMYCIN EYE OINTMENT,衛署藥製字第003969號,"NEOMYCIN (SULFATE), HYDROCORTISONE ACETATE",3.5MG,綠洲化學工業有限公司,廠商因興建新廠缺貨,已恢復供貨,
35,2013.01,福喜顆粒,FLUCIL GRANULE,衛署藥製字第032323號,ACETYLCYSTEINE,40MG/GM,瑞安藥廠,廠商缺貨,有同成份替代藥品使用，暫無醫療上問題。,
36,2013.01,維他命Ａ眼藥膏,VITA A EYE OINTMENT,衛署藥製字第004156號,VITAMIN A,3.5MG,綠洲化學工業有限公司,廠商因興建新廠缺貨,已恢復供貨,
37,2013.01,排多癌注射劑１０公絲,MITOMYCIN-C KYOWA 10MG,衛署藥輸字第021026號,MITOMYCIN C,10MG,台灣協和醱酵其林股份有限公司,廠商缺貨,可查閱http://www.pharmaceutic.idv.tw/2012_lm/news_list.php?mid=26,
38,2013.01,新定康癬膠囊１０毫克,NEOTIGASON CAPSULES 10MG,衛署藥輸字第022118號,ACITRETIN,10MG,臺灣美強股份有限公司,廠商臨時缺藥,經評估後建議使用不同成分替代藥品：(1)Methotrexate(2)Cyclosporine(3)Acitretin 25mg/cap,
39,2013.01,硝基？喃妥因錠,"NITROFURANTOIN TABLETS ""Y.S.""",衛署藥製字第003403號,NITROFURANTOIN,100MG/TAB,優生製藥廠(股),原料缺貨中，致暫時缺貨,經評估後建議使用替代藥品：(1) Amoxicillin (2)Baktar,
40,2013.02,移黏寶酶靜脈輸液,ELAPRASE (idursulfase) Injection　,罕菌疫輸字第000011號,IDURSULFASE,x,賽諾菲股份有限公司,因外包裝變更無法進貨,已恢復供貨,
41,2013.02,若克瘤注射液１０公絲？公撮,LEUCOVORIN 10MG/ML INJECTION,衛署藥輸字第020935號,FOLINATE CALCIUM 5H2O,10MG,海喬國際股份有限公司,原料短缺暫時缺貨,有同成份替代藥品使用，暫無醫療上問題。,
42,2013.02,若克瘤注射劑５０公絲　,LEUCOVORIN CALCIUM FOR INJECTION 50MG/VIAL,衛署藥輸字第020789號,FOLINATE CALCIUM 5H2O,50MG,海喬國際股份有限公司,原料短缺暫時缺貨,有同成份替代藥品使用，暫無醫療上問題。,
63,2013.06.13,魯格爾試劑,lugol sol'n,無,-,無,無,國內無藥證,國內目前並無藥廠製造或是代理商進口相關魯格爾製劑，亦無相關藥證。已徵得有意願供應之藥商,
64,2013.06.25,脂黴素微脂粒凍晶乾粉注射劑,Ambisome for Injection,衛署藥輸字第023388號,AMPHOTERICIN B,50MG,禾利行股份有限公司,因藥品有汙染疑慮，廠商預防性全數回收,有同成份替代藥品使用，暫無醫療上問題。,
65,2013.06.27,活寧液,FORANE (ISOFLURANE),衛署藥輸字第013161號,ISOFLURANE,,美商亞培股份有限公司台灣分公司,製造廠延遲出貨,有同成份替代藥品使用，暫無醫療上問題。,
43,2013.02,硫酸魚精蛋白注射液,PROTAMINE SULPHATE LEO PHARMA 1400 ANTI-HEPARIN IU/ML SOLUTION FOR INJECTION AND INFUSION,衛署藥輸字第012640號,PROTAMINE SULFATE,5 ML,禾利行股份有限公司,原料短缺暫時缺貨,已恢復供貨,
44,2013.02,爾可甦凍晶注射劑５０公絲,RESCUVOLIN 50MG,衛署藥輸字第011229號,FOLINATE ( AS CALCIUM),50MG,民橋企業股份有限公司,原料短缺暫時缺貨,經評估國內無替代藥品，已徵得有意願供應之藥商,
45,2013.02,必除癌注射液２５公絲／公撮,"ABITREXATE INJECTION, 25MG/ML",衛署藥輸字第020808號,METHOTREXATE,25MG,海喬國際股份有限公司,製造廠產能縮減暫時無法供貨,有許可證廠商恢復供貨,
46,2013.02,易滅得庇福注射液２５公絲？公撮,EMTHEXATE PF,衛署藥輸字第008859號,METHOTREXATE (SODIUM),25MG,民橋企業股份有限公司,製造廠產能縮減暫時無法供貨,經評估國內無替代藥品，已徵得有意願供應之藥商,
47,2013.02,得賜滿注射液,DESMAN INJECTION,內衛藥製字第002342號,IRON DEXTRAN,2 ML,應元化學製藥股份有限公司,廠商通知缺貨,經評估後建議使用替代藥品：FERRIC-HYDROXIDE-SUCROSE(南光FE-BACK INJECTION),
48,2013.02,干適能錠　 　,HEPSERA TABLETS,衛署藥輸字第023920號,ADEFOVIR DIPIVOXIL,10 MG,荷商葛蘭素史克藥廠股,因廠商國外生產線整合以致供貨不足,經評估後建議使用替代藥品：ENTECAVIR,
49,2013.03,史帝富 保麗娜液,POLYTAR LIQUID,衛署藥輸字第018134號,POLYTAR BLEND,150 mL/bot,荷商葛蘭素史克藥廠股,廠商國外生產線整合,經評估後建議使用同適應症替代藥品：抗組織胺內外用藥、固醇類製劑、免疫抑制劑、維生素A、D類藥品等等,
50,2013.03,史帝富普麗液,POLYTAR EMOLLIENT,衛署藥輸字第018428號,"PINE TAR, TAR B.P., POLYTAR BLEND, ARACHIS OIL, EXTRACT OF COAL TAR, ARACHIS OIL EXTRACT OF CRUDE COAL TAR, COAL TAR, COAL TAR SOLUTION, JUNIPER OIL (CADE OIL)",350 mL/bot,荷商葛蘭素史克藥廠股,廠商國外生產線整合,經評估後建議使用同適應症替代藥品：抗組織胺內外用藥、固醇類製劑、免疫抑制劑、維生素A、D類藥品等等,
51,2013.04,艾德酶靜脈注射用溶液,Aldurazyme Concentrated Solution,罕菌疫輸字第000007號,LARONIDASE,x,賽諾菲股份有限公司,原製造廠斷貨,有同成份替代藥品使用，暫無醫療上問題。,
52,2013.04,柔他益持續性膜衣錠,FINSKA-LP S.R.F.C. TABLETS　,衛署藥製字第044277號,"LORATADINE, PSEUDOEPHEDRINE SULFATE",5MG/120 MG複方,中國化學製藥股份有限公司新豐工廠,該品項因疾管局控管原料，導致原料缺貨，暫時無法供貨,有同成份替代藥品使用，暫無醫療上問題。,
53,2013.04,愛泌羅膠囊１００公絲,ELMIRON CAPSULES 100MG,衛署藥輸字第023657號,SODIUM PENTOSAN POLYSULPHATE,100MG,弘如洋生技股份有限公司,廠商停止代理,經評估後建議使用同適應症替代品項：Sodium Hyaluronate,
(11/12更新:此藥品於102/07開始已有許可證可供應:衛署藥製字第057862號)，暫無醫療上問題。,,,,,,,,,,
54,2013.04,可舒鬆注射液20公絲,Copaxone 20mg Solution for Injection,衛署罕藥輸字第000015號,GLATIRAMER ACETATE,20MG,海喬國際股份有限公司,廠商供貨不足,經評估後建議使用同適應症替代藥品：(1)Fingolimod；(2)Natalizumab,
55,2013.08,有利癌,FLUORO-URACIL VALEANT,衛署藥輸字第023404號,FLUOROURACIL,,新加坡商美納里尼醫藥有限公司台灣分公司,廠商無法供貨,已恢復供貨,
56,2013.08,服樂癌注射液５０公絲∕公撮,FLUOROURACIL INJECTION 50MG/M,衛署藥輸字第020807號,FLUOROURACIL,5ML/10ML/25ML,海喬國際股份有限公司,廠商無法供貨,有同成份替代藥品使用，暫無醫療上問題。(衛部藥製字第058033號可供應),
57,2013.09,可美淨凍晶注射劑,COSMEGEN LYOPHILIZED POWDER FOR INJECTION,衛署藥輸字第019289號,DACTINOMYCIN,x,香港商英維達有限公司台灣分公司,因原廠通知將終止該公司代理，其代理銷售到今年12月31日,醫院有需求者，請洽詢意願廠商吉帝公司。,
,,,,,,,,,,
58,2013.05.07,優樂黴素膠囊（紅絲菌素丙酯月桂硫酸醯）,ULOSINA CAPSULES (ERYTHROMYCIN ESTOLATE),衛署藥製字第029697號,ERYTHROMYCI,250MG,優良化學製藥股份有限公司,停產,建議使用ERYTHROMYCIN (STEARATE)或ERYTHROMYCIN (ESTOLATE),
59,2013.05.07,優樂黴素口服懸濁液用顆粒（紅絲菌素丙酯月桂硫酸醯）,ULOSINA FOR ORAL SUSPENSION (ERYTHROMYCIN ESTOLATE),衛署藥製字第029701號,ERYTHROMYCI,,優良化學製藥股份有限公司,停產,建議使用ERYTHROMYCIN (STEARATE)顆粒劑型,
60,2013.05.10,西力欣注射劑,ZINACEF FOR INJECTION,衛署藥製字第032357號,CEFUROXIME (SODIUM),25mg/ml;50ml/Bot,荷商葛蘭素史克藥廠股份有限公司台灣分公司,停產,有同成份替代藥品使用，暫無醫療上問題。,
61,2013.05.24,化痰能膠囊,FLUTAFIN CAPSULE 200MG (ACEFYLOYSTEINE),衛署藥製字第030873號,ACETYLCYSTEINE,200mg,西德有機化學藥品股份有限公司,PICs/GMP查廠未通過，暫不准出貨,有同成份替代藥品使用，暫無醫療上問題。,
62,2013.05.29,水合三氯乙醛,Chloral hydrate,內衛藥輸字第004918號,,,,,,
內衛藥輸字第000493號,,,,,,,,,,
衛署藥輸字第013503號,Chloral hydrate,,雄恆行股份有限公司,,,,,,,
金源貿易股份有限公司,停產,"7月公開徵求有意願之供應廠商,8月由吉帝跟醫院聯絡",,,,,,,,
66,2013.07.03,清華放射性碘－１３１膠囊,SODIUM IODIDE I-131 CAPSULES,衛署藥製字第R00008號,"SODIUM IODIDE, SODIUM PHOSPHATE DIBASIC (ANHYDROUS)",,國立清華大學原子科學研究所同位素組,停產,有同成份替代藥品使用，暫無醫療上問題。,
67,2013.07.03,清華 放射性碘－１３１口服液,SODIUM IODIDE I-131 SOLUTION,衛署藥製字第R00003號,"TELLURIC ACID, SPECIFIC RADIOACTIVITY",,國立清華大學原子科學研究所同位素組,停產,有同成份替代藥品使用，暫無醫療上問題。,
68,2013.07.03,清華 放射性磷－３２注射液,SODIUM PHOSPHATE P-32 INJECTION,衛署藥製字第R00005號,"SULFUR, SPECIFIC RADIOACTIVITY",,國立清華大學原子科學研究所同位素組,停產,有不同成份替代藥品使用，暫無醫療上問題。(此通報品項於國內未被使用，若是紅血球增多症之檢查還是使用Cr-51),
69,2013.07.03,清華 碘-131標誌玫瑰螢紅注射液,SODIUM ROSE BENGAL I-131 INJECTION,衛署藥製字第R00002號,"ROSE BENGAL SODIUM, SPECIFIC RADIOACTIVITY",,國立清華大學原子科學研究所同位素組,停產,有替代療法使用，暫無醫療上問題。,
70,2013.07.03,碘１３１碘化油肝癌注射劑,I-131-LIPIODOL MALIGNANT HEPATOMA INJECTION,衛署藥製字第R00009號,-,,國立清華大學原子科學研究所同位素組,停產,建議使用其他療法治療如全身性化療、質子放射線療法、冷凍療法、經皮局部注射法(PET)、經導管動脈化學栓塞治療(TACE/TAE),
71,2013.07.03,清華 放射性鉻－５１注射液,SODIUM CHROMATE CR-51 INJECTION,衛署藥製字第R00001號,"SPECIFIC RADIOACTIVITY, POTASSIUM CHROMATE",,國立清華大學原子科學研究所同位素組,停產,建議使用Cr-51(元新),
72,2013.07.03,清華 碘－１３１標誌馬尿酸注射液,SODIUM IODOHIPPURATE I-131 INJECTION,衛署藥製字第R00004號,"2-IODOHIPPURIC ACID, SPECIFIC RADIOACTIVITY",,國立清華大學原子科學研究所同位素組,停產,建議使用betiatide(行政院原委會核研所),
73,2013.07.24,普栓達膠囊110、150毫克,Pradaxa Capsules,衛署藥輸字第025458號、025459號,DABIGATRAN ETEXILATE MESILATE,110MG/150MG,臺灣百靈佳殷格翰股份有限公司,原廠短缺,已恢復供貨,
74,2013.07.24,底偶素腸溶錠,STILBESTOL ECT,衛署藥製字第027978號,DIETHYLSTILBESTROL,1 MG,尼斯可股份有限公司新莊廠,廠房申請PIC/S，不再供應,經評估後建議使用替代藥品：(1)Androcur(2)Casodex(3)Fugerel(4)leuprolide                     品名：(1)Cyproterone(臺灣拜耳) (2)Bicalutamide(臺灣阿斯特捷利康) (3)Flutamide(先靈葆雅)(4)leuprolide(臺灣武田、南光化學),
75,2013.07.25,精製結核菌素 RT23SSI,TUBERCULIN PPD RT23 SSI,衛署菌疫輸字第000736號,TUBERCULIN,,國光生物科技股份有限公司,國外製程問題造成短缺,建議缺藥期間改採用血液檢測方式，若要篩檢結核病高風險族群，建議轉介至公費醫療機關檢驗(國內尚有七千隻公費藥品),
76,2013.08.08,鹽酸四環素眼藥膏１％,"TETRACYCLINE HCL OPHTHALMIC OINTMENT 1% ""KINGDOM""",內衛藥製字第016430號,TETRACYCLINE (HCL),,景德製藥股份有限公司,廠商表示於2014年1月方可恢復供藥,有同成份替代藥品使用，暫無醫療上問題。,
77,2013.08.08,速復滴劑,SOFRADEX DROPS,衛署藥輸字第021518號,"FRAMYCETIN (SULFATE) SOFRAMYCIN(SULFATE), DEXAMETHASONE SODIUM SULFOBENZOATE M-, GRAMICIDIN",,賽諾菲股份有限公司,廠商表示於2014年1月方可恢復供藥,"經評估後建議使用不同成分替代藥品：(1) MYCOMB OTIC DROPS ""SINPHAR"" (杏輝)",
(2) CILODEX STERILE OTIC SUSPENSION(愛爾康) ,,,,,,,,,,
,,,,,,,,,,
78,2013.08.15,羅飛龍－A注射劑,ROFERON-A ( SOLUTION FOR INJECTION ),衛署菌疫輸字第000700號,INTERFERON ALPHA- 2A,3、4.5、6MIU,羅氏大藥廠股份有限公司,"許可證因為製造廠移轉,暫時無法供應藥品",經評估後建議使用替代藥品：INTERFERON ALPHA,
79,2013.09.02,鉈－２０１氯化亞鉈注射液,THALLIUM CHLORIDE-T1 201 INJECTION,衛署藥輸字第R00030號,THALLIUM TL-201,注射劑,元新儀器有限公司,藥物許可證到期，無法再行供應,有同成份替代藥品使用，暫無醫療上問題。,
80,2013.09.03,鎵－６７檸檬酸鎵注射液,GALLIUM CITRATE-GA 67 INJECTION,衛署藥輸字第R00009號,"SODIUM CITRATE DIHYDRATE, SODIUM CHLORIDE ISOTONIC INJECTABLE SOLUTION, GALLIUM GA-67, BENZYL ALCOHOL, SODIUM HYDROXIDE",注射劑,元新儀器有限公司,藥物許可證到期，無法再行供應,經評估後，有兩間廠商可供應此藥物，而單位濃度劑量(2mCi/ml)是元新儀器成品(1mCi/ml)的2倍。,
84,2013.09.12,優力黴素口服懸液用顆粒（賜福力欣）,ULEXIN FOR ORAL SUSPENSION (CEPHALEXIN),衛署藥製字第017280號,CEPHALEXIN (MONOHYDRATE),懸液用顆粒劑,優良化學製藥股份有限公司,廠商年底供貨,有同成份替代藥品使用，暫無醫療上問題。,
86,2013.10.08,人人紫菌素眼用軟膏３公絲/公克,"GENTAMYCIN OPHTH. OINTMENT 3MG/GM ""GCPC""",衛署藥製字第025128號,GENTAMICIN (AS SULFATE),3MG/GM,人人化學製藥股份有限公司,廠商皆缺藥,有同成份替代藥品使用，暫無醫療上問題。,
88,2013.10.23,塞克羅邁得糖衣錠５０公絲,SYKLOFOSFAMID S.C. TABLETS 50MG,衛署藥輸字第016754號,CYCLOPHOSPHAMIDE,50MG/tab,臺灣美強股份有限公司,廠商不再進貨,有同成份替代藥品使用，暫無醫療上問題。,
81,2013.09.05,西德有機新黴素膠囊250毫克,"NEOMYCIN CAPSULES 250mg ""SHITEH""",內衛藥製字第005396號,NEOMYCIN (SULFATE),膠囊劑,西德有機化學藥品股份有限公司,因代工廠轉證程序尚未完成，造成無法正常供貨，預計2013/12/31可恢復供貨。,有同成份替代藥品使用，暫無醫療上問題。(102/12/4經研究助理電聯後，西德藥廠表示預計103/2月開始供貨),
82,2013.09.05,杏輝 金貝比嬰兒擦劑,"SINBABY BABY LOTION ""SINPHAR""",衛署藥製字第020215號,"DIPHENHYDRAMINE, DIBUCAINE HCL, ZINC OXIDE",洗劑,杏輝藥品工業股份有限公司,廠商缺貨,"經評估後，建議可根據其主成分zinc oxide, diphenhydramine, dibucaine hydrochloride, dl-camphor,及 benzalkonium個別開立處方。另也可考慮使用派頓""膚喜軟膏作為替代用藥，唯派頓""膚喜軟膏的主成分並未包括benzalkonium。",
83,2013.09.11,速溶 泛艾黴素１０公絲,PHARMORUBICIN RAPID DISSOLUTION 10MG,衛署藥輸字第019120號,EPIRUBICIN HCL,凍晶注射劑,輝瑞大藥廠股份有限公司,廠商缺貨,有同成份替代藥品使用，暫無醫療上問題。(經評估後，台灣東洋公司曾於國內進行Epirubicin之臨床試驗，療效與安全性評估皆符合要求。部分醫學中心已採購引進使用，應可列為優先徵詢供應之對象。),
85,2013.10.04,必先優注射劑,BICNU (CARMUSTINE (BCNU)) 100MG,衛署藥輸字第006292號,CARMUSTINE,100 mg/vial,臺灣必治妥施貴寶股份有限公司,國外經銷權轉移,經評估後，本品為專案進口藥品且因國外許可證賣給【Emcure Phar.Limited】再授權Idis為台灣獨家代理，故建議改向Idis代理聯繫,
87,2013.10.16,台裕安西諾隆注射液１０公絲,"TRIAMCINOLONE SUSPENDED INJECTION 10MG ""TAI YU""",衛署藥製字第013578號,TRIAMCINOLONE ACETONIDE,10mg/ml,臺裕化學製藥廠股份有限公司,"因生產工廠逢PIC/S查廠, 以致目前無法正常供貨",有同成份替代藥品使用，暫無醫療上問題。,
89,2013.10.23,吉普寧糖衣錠,"TIOPRONIN S.C. TABLETS ""S.T.""",衛署藥製字第018926號,TIOPRONIN,糖衣錠,信東生技股份有限公司,國內無人生產，亦無代理商進口。,經評估後建議使用替代藥品：Penicillamine(禾利行),
90,2013.10.28,治疣液,DUOFILM,衛署藥輸字第017603號,"COLLODION, SALICYLIC ACID, LACTIC ACID",外用液劑,荷商葛蘭素史克藥廠股份有限公司台灣分公司,國外生產線整合，預計103年度第四季恢復供貨,有不同成份可替代藥，12月起原短缺廠商已可正常供貨,
91,2013.10.29,景德 可利明眼藥膏1%(氯絲菌素),"CHLORLYMIN OPHTHALMIC OINTMENT 1% ""KINGDOM"" (CHLORAMPHENICOL)",衛署藥製字第046069號,CHLORAMPHENICOL,眼用軟膏劑,景德製藥股份有限公司,停產(PIC/S改建),有同成份替代藥品使用，暫無醫療上問題。,
92,2013.10.29,利福全錠２毫克（可那氮平）,RIVOTRIL TABLETS 2MG (CLONAZEPAM),衛署藥製字第036175號,CLONAZEPAM,2MG,羅氏大藥廠股份有限公司,民眾通報廠商無原因不供貨,有同成份替代藥品使用，暫無醫療上問題。,
93,2013.11.06,“管制藥品廠”吩坦尼穿皮貼片劑 25 微公克/小時,Fentanyl Transdermal Patch 25 μg/hr“PPCD”,衛署藥製字第050018號,FENTANYL (EQ TO FENTANYL BASE),,衛生福利部食品藥物管理署管制藥品製藥工廠,因行政作業流程因素造成供應量不穩定,有同成份替代藥品使用，暫無醫療上問題。,
94,2013.11.06,氯黴素琥珀酸酯鈉鹽注射劑１克,"INCHLOMYCIN SODIUM SUCCINATE INJECTION 1GM ""C.Y.""",衛署藥製字第006932號,CHLORAMPHENICOL (SODIUM SUCCINATE),1 MG,聯邦化學製藥股份有限公司,配合衛生署執行PIC/S GMP，故停止生產,經評估後，建議使用不同成分可替代藥品：(1)fluoroquinolones,
(2)cephalosporins,,,,,,,,,,
95,2013.11.07,敏克瘤注射液１公絲？公撮,VINCRISTINE-TEVA SOLUTION 1MG/ML,衛署藥輸字第022167號,VINCRISTINE SULFATE,1mg/ml/Vial,海喬國際股份有限公司,國外原廠無法如期出貨致缺貨,有同成分、同劑型、同劑量藥品使用，暫無醫療問題,
96,2013.11.07,疏痙 直腸用液劑１０公絲,STESOLID RECTAL TUBE 10MG,衛署藥輸字第023460號,DIAZEPAM,10MG,臺灣美強股份有限公司,因產地變更未辦理導致缺藥,經評估後，各醫院若有醫療需求可以專案進口方式提出申請,
