類別,藥品製造許可編號,藥品製造許可有效期限,名稱,地址,電話,監製藥師,核准劑型,核定品項,核定作業內容,備註
固體劑型：膜衣錠。,,,,,,,,,,
西藥製劑廠,(AP)0411009號,104年10月14日,永信藥品工業股份有限公司台中幼獅三廠,台中市大甲區日南里工六路26號,04-26815181 ,,無菌製劑（頭孢子菌素、青黴素類）： ,,,
乾粉注射劑（無菌製備）、凍晶注射劑(無菌製備)。,,,,,,,,,,
非無菌製劑（頭孢子菌素、青黴素類）：,,,,,,,,,,
固體劑型：膜衣錠（顆粒劑、散劑）、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0372010號,102年1月21日,瑞安大藥廠股份有限公司觀音廠,桃園縣觀音鄉草漯村大同一路26號,03-4839641,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、膠囊劑。,,,依103年11月5日部授食字第1031105481號函，瑞安大藥廠股份有限公司觀音廠聲明停止生產「注射液劑（無菌製備）」、「無菌眼耳鼻用液劑（無菌製備）」及「頭孢子菌素類乾粉注射劑」等劑型產品。,,,,,,,
西藥製劑廠,(AP)0371011號,104年12月31日,聯亞生技開發股份有限公司新竹二廠,新竹縣湖口鄉光復北路45號,03-5984151,,無菌製劑： ,,,
注射液劑（無菌製備、最終滅菌）。,,,,,,,,,,
滅菌懸液注射劑（無菌製備）─疫苗之充填至包裝作業。（明礬沉澱破傷風類毒素、日本腦炎疫苗）,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：懸液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、錠劑、散劑）、膠囊劑。,,,臨床試驗用藥： ,,,,,,,
dB4C7mAb HIV Terapeutic solution,,,,,,,,,,
西藥製劑廠,(AP)0416012號,104年2月17日,台灣東洋藥品工業股份有限公司,台北市內湖區行善路118號5樓、5樓之1、5樓之2、5樓之3、124號5樓、5樓之1、5樓之2、5樓之3,02-27967383,,無菌製劑： ,,,
凍晶注射劑（無菌製備）、注射用水（最終滅菌）、注射液劑（最終滅菌）。,,,,,,,,,,
西藥製劑廠,(AP)0021013號,102年6月11日,南光化學製藥股份有限公司,台南市新化區全興里中山路1001號,06-5984121,,無菌製劑： ,,,
注射液劑（最終滅菌及無菌製備)、灌洗用液劑(最終滅菌)、乾粉注射劑（無菌製備）、凍晶注射劑（無菌製備）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、腸衣劑、錠劑、顆粒劑、散劑）、膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產細胞毒類製劑之注射液劑（無菌製備）及凍晶注射劑（無菌製備）。,,,"該廠於103年8月28日切結不生產下列產品 (依103年9月12日部授食字第1031104265號函)：「""南光""可麗多2%洗髮精(衛署藥製字第034644號)」。",,,,,,,
西藥製劑廠,(AP)0060014號,105年1月22日,培力藥品工業股份有限公司,台中市西屯區協和里工業區六路11號,04-23592576,,非無菌製劑：,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）、膠囊劑、栓劑。,,,,,,,,,,
除生產一般製劑外，另生產女性荷爾蒙類製劑（膜衣錠、錠劑、膠囊劑、軟膠囊劑）。,,,,,,,,,,
西藥製劑廠,(AP)0119015號,104年11月5日,美時化學製藥股份有限公司南投廠,南投縣南投市成功一路30號,049-2250411,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（錠劑）、膠囊劑、軟膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產女性荷爾蒙類製劑（錠劑）及細胞毒類製劑（膠囊劑）。,,,"該廠於99年8月9日切結暫不生產下列產品（依99年8月18日署授食字第0990002373號函）：""美時""復癒膠囊（衛署藥製字第049563號）。 前述切結暫不生產之〝美時〞復癒膠囊產品，生產區業經本署100年9月19至22日實地查核，並以101年5月9日署授食字第1011100234號函認定符合PIC/S GMP。  ",,,,,,,
西藥製劑廠,(AP)0423016號,105年3月10日 ,益邦製藥股份有限公司,苗栗縣竹南鎮科東三路1號,037-586268,,非無菌製劑：,,,
固體劑型：膜衣錠（錠劑、顆粒劑、散劑）及膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0298017號,105年5月13日,健亞生物科技股份有限公司,新竹縣湖口鄉新竹工業區工業一路1號,035-982221,,無菌製劑：,,,
注射液劑(無菌製備、最終滅菌)、無菌眼耳鼻用液劑（眼用液劑/無菌製備）。 ,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
半固體劑型：乳膏劑。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、錠劑、散劑）、膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產細胞毒類製劑（注射液劑/無菌製備）。,,,,,,,,,,
西藥製劑廠,(AP)0018018號,104年11月27日,信東生技股份有限公司觀音廠,桃園縣觀音鄉國建一路1號,(03)483-7600,,無菌製劑(頭孢子菌素類)： ,,,
乾粉注射液劑（無菌製備）。 ,,,,,,,,,,
非無菌製劑(頭孢子菌素類)：,,,,,,,,,,
固體劑型：膜衣錠（顆粒劑）、膠囊劑。,,,"該廠於99年8月27日切結不生產下列產品(依99年8月31日署授食字第0991100291號函) : ""信東""沛能注射劑(衛署藥製字第048751號)及""信東""滅平寧靜脈乾粉注射劑(衛署藥製字第049735號)。",,,,,,,
西藥製劑廠,(AP)0408019號,105年4月9日,中國化學製藥股份有限公司新豐工廠,新竹縣新豐鄉坑子口182-1號,03-5599866,,無菌製劑： ,,,
乾粉注射劑（無菌製備）、注射液劑（無菌製備、最終滅菌）、凍晶注射劑（無菌製備）。 ,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：懸液劑（溶液劑）。 ,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、腸衣錠、錠劑、顆粒劑、散劑）、膠囊劑、栓劑。,,,,,,,,,,
西藥製劑廠,(AP)0011020號,105年5月12日,台灣大塚製藥股份有限公司中壢工廠 ,桃園縣中壢市忠福里吉林路15號,03-4524104,,無菌製劑： ,,,
注射液劑（最終滅菌）。,,,,,,,,,,
溶液劑(最終滅菌)。,,,,,,,,,,
灌洗用液劑(最終滅菌)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
半固體劑型：軟膏劑。 ,,,,,,,,,,
固體劑型：錠劑（含散劑）。,,,,,,,,,,
西藥製劑廠,(AP)0421021號,104年10月23日,詮達股份有限公司新竹廠,新竹縣湖口鄉勝利村光復路50號,03-5983150,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
西藥製劑廠,(AP)0033022號,105年6月25日 ,濟生化學製藥廠股份有限公司,新竹縣湖口鄉新竹工業區實踐路3號,03-5983811,,無菌製劑：,,,
注射液劑(最終滅菌)、乾粉注射劑(無菌製備)、灌洗用液劑(最終滅菌)、腹膜透析用液劑(最終滅菌)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：懸液劑(含溶液劑)。,,,,,,,,,,
固體劑型：散劑。,,,,,,,,,,
除生產一般製劑外，另生產頭孢子菌素類製劑（乾粉注射劑）。,,,該廠於102年8月13日切結不再生產下列產品 : 滅克菌乾粉注射劑(衛署藥製字第050256號)。,,,,,,,
西藥製劑廠,(AP)0399023號,104年11月04日,中國化學製藥股份有限公司台南二廠,台南市官田區二鎮里工業路39號,06-6991110,,非無菌製劑：,,,
固體劑型：糖衣錠(膜衣錠、錠劑、散劑)。,,,,,,,,,,
西藥製劑廠,(AP)0049024號,105年5月14日,杏輝藥品工業股份有限公司,宜蘭縣冬山鄉中山村中山路84、84之4、84之6、84之7號、冬山鄉中山村新寮路95、95之1、100之13、103、136號,03-9581101,,無菌製劑：,,,
注射液劑（無菌製備及最終滅菌）、無菌眼耳鼻用液劑（無菌製備）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、腸衣錠、錠劑、顆粒劑、散劑）、膠囊劑、軟膠囊劑、栓劑。,,,,,,,,,,
除生產一般製劑外，另生產女性荷爾蒙類製劑（乳膏劑）及細胞毒類製劑（注射液劑/無菌製備）。,,,"該廠於102年11月8日杏輝字第1020000326號函切結暫不生產下列16項產品（依102年12月6日FDA風字第1024017746號書函）：""杏輝""施華黴素注射劑1公克（衛署藥製字第024237號）、""杏輝""杏富林注射劑1公克（喜化樂信）（衛署藥製字第026535號）、""杏輝""杏華黴素注射劑1公克（西華樂林）（衛署藥製字第039155號）、""杏輝""杏汎黴素注射劑1公克（西華免德）（衛署藥製字第039258號）、""杏輝""杏穫黴素注射劑0.5公克（弗斯黴素）（衛署藥製字第039347號）、杏可西林注射劑1公克（衛署藥製字第024963號）、""杏輝""安莫西林口服懸浮液用粉（衛署藥製字第022875號）、""杏輝""杏復力口服懸液用粉25公絲/公撮（衛署藥製字第026959號）、紅黴素口服懸液用粉25公絲/公撮（紅絲菌素丙脂月桂硫酸醯）（衛署藥製字第025900號）、""杏輝""杏可西林膠囊500公絲（衛署藥製字第019752號）、""杏輝""安比西林膠囊250公絲（衛署藥製字第019753號）、""杏輝""安比西林膠囊500公絲（衛署藥製字第019754號）、""杏輝""鹽酸四環素膠囊（衛署藥製字第024002號）、""杏輝""杏復力膠囊500公絲（賜福力欣）（衛署藥製字第032939號）、""杏輝""杏復力膠囊250公絲（賜福力欣）（衛署藥製字第032940號）、""杏輝""杏復可樂膠囊250公絲（頭孢可若）（衛署藥製字第040578號）。 ",,,,,,,
西藥製劑廠,(AP)0426026號,106年4月28日,友霖生技醫藥股份有限公司,雲林縣虎尾鎮墾地里科虎一路8號,(05)631-1331,,非無菌製劑：,,,
固體劑型：膜衣錠（錠劑）、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0143027號,105年8月19日,盈盈生技製藥股份有限公司三峽廠,新北市三峽區紫新路26巷6號,02-26726032,,非無菌製劑：,,,
半固體劑型：乳膏劑。,,,,,,,,,,
固體劑型：糖衣錠(含錠劑)及膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0014028號,105年11月26日,輝瑞生技股份有限公司新竹廠,新竹縣新豐鄉中崙村中崙290-1號,03-5901988,,無菌製劑：,,,
凍晶注射劑（無菌製備）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
固體劑型：膜衣錠（錠劑、散劑）、膠囊劑、軟膠囊分/包裝作業。,,,,,,,,,,
除生產一般製劑外，另生產青黴素類製劑（凍晶注射劑/無菌製備）。 ,,,,,,,,,,
西藥製劑廠,(AP)0163029號,105年3月26日,十全實業股份有限公司,南投縣南投市平山里仁和路27號,049-2254221,,非無菌製劑：,,,
液體劑型：溶液劑。 ,,,,,,,,,,
半固體劑型：軟膏劑(乳膏劑)。 ,,,,,,,,,,
固體劑型：糖衣錠(膜衣錠、腸衣錠、錠劑、顆粒劑、散劑)、膠囊劑。,,,該廠於99年3月26日及100年1月17日切結暫不生產下列產品（依100年8月16日署授食字第1001101303號函）：,,,,,,,
"蒙多樂錠5公絲（乙炔類黃體酮）（衛署藥製字第040790號）、悅蒙錠2公絲""十全""（衛署藥製字第043175號）、淑寶糖衣錠1.25公絲（伊得蒙）（衛署藥製字第038458號）、婦佳乳膏0.1公絲/公克（氫偶素）（衛署藥製字第042193號）。",,,,,,,,,,
西藥製劑廠,(AP)0425030號,106年03月25日,中國化學製藥股份有限公司台南三廠,台南巿官田區二鎮里工業西路46號之8,06-6935637,,無菌製劑（頭孢子菌素類）：,,,
乾粉注射劑（無菌製備）。,,,,,,,,,,
西藥製劑廠,(AP)0025031號,106年03月11日,生達化學製藥股份有限公司,臺南市新營區土庫里土庫6之20號,06-6361516,,無菌製劑：,,,
注射液劑(無菌製備、最終滅菌) 、凍晶注射劑(無菌製備)、滅菌懸液注射劑(無菌製備)。 ,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
固體劑型：糖衣錠(膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產頭孢子菌素類製劑(乾粉注射劑，無菌製備)。,,,"依103年10月31日部授食字第1031100401號函，生達化學製藥股份有限公司切結不生產下列品項：（一）眼用液劑產品:眼滴爽0.1%眼用懸液（膚樂美爽）（衛署藥製字第034957號）及可敵炎點眼液（衛署藥製字第014024號）;（二）乾粉注射劑產品：""生達""舒信注射液900公絲（來欣阿斯匹林）（衛署藥製字第039169號）;（三）性荷爾蒙類產品：女寧膠囊200公絲（單那若）（衛署藥製字第041418號）及伊使蒙糖衣錠（衛署藥製字第004423號）;（四）細胞毒類注射液劑：""生達""依妥派注射液20公絲/公撮（伊妥普賽）（衛署藥製字第036593號）;（五）丸劑產品：喜滿佳軟甜球丸（衛署藥製字第039664號）;（六）頭孢子菌素類產品：希華克膠囊250公絲（衛署藥製字第039630號）、賜華力膠囊500公絲（西華杜西）（衛署藥製字第027093號）、""生達""速信膜衣錠125公絲（頭孢福辛）（衛署藥製字第042433號）、""生達""速信膜衣錠250公絲（頭孢福辛）（衛署藥製字第042439號）、舒維速保膠囊250公絲（賜福力欣）（衛署藥製字第040102號）、舒維速保膠囊500公絲（賜福力欣）（衛署藥製字第040103號）、賜華定膠囊500公絲（西華定）（衛署藥製字第032295號）及賜華定懸液用粉500公絲/5公撮（西華定）（衛署藥製字第032269號）。",,,,,,,
西藥製劑廠,(AP)0058032號,103年09月22日,華興化學製藥廠股份有限公司,彰化縣田尾鄉饒平村四維巷128號,04-8832121,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
固體劑型：膜衣錠(錠劑、顆粒劑)、膠囊劑。,,,依該廠於100年11月9日切結書切結暫不生產下列產品： 司化菌膠囊500公絲（西華卓西）（衛署藥製字第035542號）、利內特膜衣錠250公絲〝華興〞（衛署藥製字第044652號）、優婦錠5公絲（兩烯伊士純隆）〝華興〞（衛署藥製字第043049號）。,,,,,,,
西藥製劑廠,(AP)0413033號,103年8月26日,得生製藥股份有限公司二廠,台南市永康區王行里環工路42-1號,06-2311636,,非無菌製劑-貼劑(含藥膠布)。,,,
西藥製劑廠,(AP)0031034號,106年6月30日,保瑞藥業股份有限公司,台南市官田區工業西路54號,06-6984795,,非無菌製劑：,,,
固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）、膠囊劑、軟膠囊劑（僅分、包裝作業）。,,,,,,,,,,
西藥製劑廠,(AP)0414035號,106年5月18日,安成國際藥業股份有限公司中壢廠,桃園縣中壢市自強四路三之一號,03-4336438,,非無菌製劑：,,,
液體劑型：懸液劑。,,,,,,,,,,
固體劑型：膜衣錠、膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0048036號,105年11月18日,寶齡富錦生技股份有限公司平鎮廠,桃園縣平鎮市興隆路266號,03-4697159,,非無菌製劑：,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、膠囊劑。,,,該廠於100年11月17日及101年4月17日切結不生產非人用藥品規格之動物用藥產品及Estradiol類之女性荷爾蒙產品（乳膏劑及凝膠劑）。,,,,,,,
西藥製劑廠,(AP)0415037號,106年12月21日,立康生物科技股份有限公司工廠,臺南市永康區王行里環工路29、31、31之1、31之2、31之3、31之5號,06-2337068,,非無菌製劑-藥膠布。,,,
西藥製劑廠,(AP)0044038號,104年1月4日,台灣田邊製藥股份有限公司新竹廠,新竹縣湖口鄉鳳凰村光復北路97號,03-5983655,,非無菌製劑：,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、錠劑、顆粒劑）及膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0424039號,104年2月10日,瑞士藥廠股份有限公司新市廠,台南市新市區中山路182號,06-58939663,,無菌製劑：,,,
注射液劑（無菌製備、最終滅菌）。,,,,,,,,,,
無菌眼耳鼻用液劑（耳鼻用液劑/無菌製備）。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、腸衣錠、錠劑、顆粒劑）、膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產頭孢子菌素類製劑〔乾粉注射劑（無菌製備）、膠囊劑、顆粒劑（含散劑）〕。,,,,,,,,,,
西藥製劑廠,(AP)0412040號,103年11月9日,麥迪森企業股份有限公司桃園廠 ,桃園縣桃園市桃鶯路445之2號1樓,03-3710001,,無菌製劑：,,,
無菌眼耳鼻用液劑(眼用液劑/無菌製備)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。,,,該公司因違反藥事法第57條第2項，目前停止廠內所有產品之生產作業。,,,,,,,
西藥製劑廠,(AP)0327041號,103年12月28日,健康化學製藥股份有限公司 ,臺中市大甲區幼獅工業區幼四路12號,04-26811733,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（含乳膏劑)。,,,,,,,,,,
固體劑型：錠劑（含顆粒劑、散劑）及膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0377042號,103年11月24日,歐帕生技醫藥股份有限公司,新竹縣湖口鄉湖南村光復路1號,03-5985737-231,,非無菌製劑：,,,
液體劑型：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：糖衣錠（膜衣錠、腸衣錠、錠劑、顆粒劑、散劑）及膠囊劑。,,,,,,,,,,
西藥製劑廠,(AP)0324044號,106年10月14日,五洲製藥股份有限公司,桃園縣新屋鄉赤欄村17之1號,03-4773411,,非無菌製劑：,,,
液體劑型 ：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
固體劑型：膜衣錠（錠劑、顆粒劑、散劑）、軟膠囊劑、膠囊劑。,,,依103年11月18日部授食字第1031105462號函，五洲製藥股份有限公司聲明停止生產女性荷爾蒙類產品「五洲非非每保隆5公絲」 (衛署藥製字第044116號)。,,,,,,,
西藥製劑廠,(AP)0079045號,104年04月13日,人生製藥股份有限公司,台中市西屯區工業五路3號,04-23592345,,無菌製劑：,,,
無菌眼耳鼻用液劑:眼用液劑(無菌製備)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
液體劑型：溶液劑。 ,,,,,,,,,,
半固體劑型：軟膏劑(乳膏劑)。 ,,,,,,,,,,
固體劑型：糖衣錠(膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑、丸劑、棒劑。,,,,,,,,,,
其他:藥膠布及紗布劑。,,,該廠於101年4月13日切結不再生產下列產品（依101年12月12日署授食字第1011102951號函）： 人生經得寧錠（衛署藥製字第043137號）。,,,,,,,
西藥製劑廠,(AP)0065046號,104年3月7日,三洋藥品工業股份有限公司大發廠 ,高雄市大寮區大寮里華西路45號,07-7871266,,非無菌製劑：,,,
液體劑型：溶液劑。 ,,,,,,,,,,
固體劑型：膜衣錠(錠劑)。,,,依該廠於101年5月15日三洋藥字第1010515號函切結不生產下列產品： (一)乳膏劑：膚滴藥膏（衛署藥製字第013782號）、絡勁乳膏7.5公絲/公克（衛署藥製字第036017號）。 (二)糖衣錠劑：哈囉那命-富糖衣錠（內衛藥製字第006339號）、虎爾強糖衣錠(內衛藥製字第006320號）、女人荷爾蒙糖衣錠（內衛藥製字第006314號）、千百力-愛糖衣錠（內衛藥製字第007651號）、千百力-T糖衣錠（內衛藥製字第007652號）。 (三)膠囊劑：免酸痛膠囊（衛署藥製字第018147號）、使爾免痛膠囊（衛署藥製字第010783號）、使爾免痛膠囊（衛署藥製字第008648號）、雄-10膠囊（內衛藥製字第006330號）、精豹力膠囊（內衛藥製字第006312號）、甲基荷爾蒙膠囊（內衛藥製字第006326號）、豹力荷爾蒙膠囊（衛署藥製字第025923號）、國安止痛膠囊250公絲（衛署藥製字第037692號）、一代感冒藥膠囊（衛署藥製字第039386號）、國安感冒藥膠囊（衛署藥製字第038250號）。 ,,,,,,,
西藥製劑廠,(AP)0069047號,106年4月30日,杏林新生製藥股份有限公司,桃園縣龍潭鄉三和村店湖一路237 號,03-4703248,,無菌製劑：,,,
注射液劑(最終滅菌及無菌製備)。,,,,,,,,,,
凍晶注射劑(無菌製備)。,,,,,,,,,,
非無菌製劑：,,,,,,,,,,
固體劑型：糖衣錠(含膜衣錠、錠劑、顆粒劑、散劑)、膠囊劑。,,,該廠於102年12月31日切結暫不生產下列產品： 「復力素凍晶注射劑(衛署藥製字第025748號)」、一般抗生素產品「特康寧注射劑(衛署藥製字第048642號)」、細胞毒素類產品「雙福全注射劑(衛署藥製字第048080號)」。 ,,,,,,,
西藥製劑廠、原料藥廠,(AP)0429048號,104年8月17日,展旺生命科技股份有限公司南科分公司針劑廠,台南市新市區創業路8號4樓、12號4樓與5樓、16號4樓,06-5051200,,無菌製劑：,,,
碳青黴烯類（Carbapenem）乾粉注射劑（無菌製備）。,,,,,,,,,,
西藥製劑廠,(AP)0428050號,104年4月13日,井田國際醫藥廠股份有限公司,台中市大甲區日南里幼獅路32號,04-26814585,,非無菌製劑：,,,
液體劑型 ：溶液劑。,,,,,,,,,,
半固體劑型：軟膏劑(乳膏劑)。,,,,,,,,,,
固體劑型：糖衣錠（散劑）、膠囊劑、軟膠囊劑。,,,,,,,,,,
除生產一般製劑外，另生產女性荷爾蒙類製劑(乳膏劑、糖衣錠)。,,,,,,,,,,
西藥製劑廠,(AP)0281051號,104年1月13日,正和製藥股份有限公司新營廠,台南市新營區嘉芳里新工路23號,06-6529311,,非無菌製劑：,,,
液體劑型：懸液劑（溶液劑）。,,,,,,,,,,
半固體劑型：軟膏劑（乳膏劑）。,,,,,,,,,,
