試驗藥品監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
Azelastine Nasal Spray 0.1% W/V,壽元,衛署藥製 047879,,Y,,941028,Azep Nasal Spray 0.1% W/V,Viatris,Germany
Azelastine Nasal Spray 1mg/ml,健喬信元,衛署藥製 048635,,Y,,960307,Allergodil akut Nasenspray 1mg/ml,Viatris,Germany
Azithromycin powder for susp 47.78mg/g,瑩碩,衛署藥製055554,,Y,,991014,Zithromax Powder for Susp 47.78mg/g,Pfizer,Italy
Azithromycin tab 250mg,南光,衛署藥製057842,,Y,,1020206,Zithromax F.C. Tab 250mg,Pfizer,Australia
Azithromycin tab 250mg,吉富,衛署藥輸 025093,,Y,,980709,Zithromax tab 250mg,Pfizer,Australia
Azithromycin tab 250mg,永信,衛署藥製 057378,,Y,,1010817,Zithromax tab 250mg,Pfizer,Australia
Bambuterol tab 10mg,信東,衛署藥製 045041,,Y,,910605,Bambec tab 10mg,AB Astra,Sweden
Bambuterol tab 10mg,健喬信元,衛署藥製 045178,,Y,,910919,Bambec tab 10mg,AB Astra,Sweden
Bambuterol tab 10mg,十全,衛署藥製 045620,,Y,,920617,Bambec tab 10mg,AB Astra,Sweden
Bambuterol tab 10mg,科進,衛署藥製 046204,,Y,,930318,Bambec tab 10mg,AB Astra,Sweden
Benidipine tab 4mg,健喬信元,衛署藥製 056633,Y,,,981014,Coniel tab 4mg,Kyowa,Japan
Benidipine tab 8mg,健喬信元,衛署藥製 057368,,,Y,1010710,Coniel tab 4mg,健喬信元,Taiwan
Benzonatate cap 100mg,美時,衛署藥製 042435,,Y,,870713,Tessalon soft cap 100mg,Forest Pharma.,U.S.A.
Benzonatate cap 100mg,美喬,衛部藥製058202,,Y,,1021030,Tessalon Perles Soft Cap 100mg,Catalent ,U.S.A.
Benzonatate soft cap 200mg,美時,衛署藥製 057991,,Y,,1010116,Tessalon soft cap 200 mg,Catalent Pharma Solutions,USA
Betaxolol tab 20mg,信東,衛署藥製 044619,,Y,,900824,Kerlone tab 20mg,Synthelabo Groupe,France
Betaxolol tab 20mg,健喬信元,衛署藥製 045354,,Y,,910916,Kerlone tab 20mg,Synthelabo Groupe,France
Betaxolol tab 20mg,雙正,衛署藥輸 022553,,Y,,880719,Kerlone tab 20mg,Synthelabo Groupe,France
Bicalutamide tab 50mg,躍欣,衛署藥輸 025087,,Y,,980717,Casodex tab 50mg,Astrazeneca ,Germany
Bisoprolol fumarate tab 1.25mg,健喬信元,衛署藥製 049504,,Y,,970606,Concor tab 1.25mg,Merck,Germany
Bisoprolol fumarate tab 1.25mg,萬菱,衛署藥製 049851,,Y,,970512,Concor tab 1.25mg,Merck,Germany
Bisoprolol fumarate tab 1.25mg,信東,衛署藥製 055984,,Y,,990924,Concor tab 1.25mg,Merck,Germany
Bisoprolol fumarate tab 10mg,萬菱,衛署藥製049623,,,Y,970725,Biocor tab 5mg,健亞,Taiwan
Bisoprolol fumarate tab 10mg,信東,衛署藥製 057868,,,Y,1011217,Bisol tab 5mg,信東,Taiwan
Bisoprolol fumarate tab 2.5mg,萬菱,衛署藥製 049915,,,Y,980106,Cidincor tab 1.25mg,健亞,Taiwan
Bisoprolol fumarate tab 2.5mg,信東,衛部藥製 058077,,,Y,1011116,Bisol tab 5mg,信東,Taiwan
Bisoprolol fumarate tab 5mg,氰胺,衛署藥製 043296,,,Y,880907,Monocor tab 5mg,Cyanamid,England
Bisoprolol fumarate tab 5mg,健喬信元,衛署藥製 045348,,Y,,920109,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,信東,衛署藥製 047538,,Y,,940810,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,瑞安,衛署藥製 048439,,Y,,950825,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,尊享,衛署藥製 048796,,Y,,960315,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,景德,衛署藥製 049083,,Y,,960919,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,井田,衛署藥製049544,,Y,,970429,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,生達,衛署藥製049650,,Y,,970819,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,萬菱,衛署藥製 048905,,Y,,951220,Concor tab 5mg,Merck,Germany
Bisoprolol fumarate tab 5mg,瑞士,衛署藥製 050061,,Y,,980312,Concor tab 5mg,Merck,Germany
Bisoprolol tab 5mg,榮民,衛署藥製055406,,Y,,990712,Concor  tab 5mg,Merck ,Germany
Brotizolam tab 0.25mg,台灣百靈佳殷格翰,衛署藥輸 025713,,Y,,1010523,LENDORMIN tab 250mcg,健喬信元,Taiwan
Budesonide inhaler 200 ug/dose,台灣大塚,衛署藥製 048222,,Y,,950612,Pulmicort Turbuhaler 200ug/dose,Astrazeneca AB,Sweden
Buprenorphine SL tab 8mg,美時,衛署藥製 050250,,Y,,980722,Subutex SL tab 8mg,Reckitt Benckiser,U. K.
Buprenorphine/ Naloxone SL tab 8mg/2mg,美時,衛署藥製 050251,Y,,,980722,Suboxone SL tab 8mg/2mg,Reckitt Benckiser,U. K.
Bupropion ER tab 150mg,安成,衛署藥製057963,,Y,,1020530,Wellbutrin XL ER Tab 150mg,Biovail ,Canada
Bupropion SR  tab 150mg,瑞士,衛署藥製055534,,Y,,990525,Wellbutrin SR tab 150mg,SmithKline Beecham,USA
Bupropion SR tab 150mg,東顥,衛署藥製 049011,,Y,,960831,Wellbutrin SR tab 150mg,SmithKline Beecham,U.S.A.
Bupropion SR tab 150mg,皇佳,衛署藥製 049322,,Y,,970229,Wellbutrin SR tab 150mg,SmithKline Beecham,U.S.A.
Bupropion SR tab 150mg,瑪科隆,衛署藥製 055005,,Y,,980805,Wellbutrin S.R. tab 150mg,SmithKline Beecham ,U.S.A.
Bupropion SR tab 150mg,瑞安,衛署藥製 054977,,Y,,981109,Wellbutrin S.R. tab 150mg,SmithKline Beecham ,U.S.A.
Bupropion SR tab 150mg,五洲,衛署藥製 055284,,Y,,990707,Wellbutrin S.R. tab 150mg,SmithKline Beecham ,U.S.A.
Bupropion SR tab 150mg,信東,衛署藥製056782,,Y,,991209,Wellbutrin S.R. tab 150mg,SmithKline Beecham ,U.S.A.
