製劑別,申請廠商,製劑名稱,製造批號,有效期限,包裝,封緘數量,封緘劑量,封緘日期,備註
血液製劑類,海喬國際股份有限公司,愛替治注射劑,S10L-2,960930.0,5 mL/瓶,5 mL/瓶 × 400 瓶,400,950123,缺AC874728
血液製劑類,百特醫療產品股份有限公司,百特組織修復凝合劑,VND2A023,960831.0,1 mL/支 × 2支/組/盒,"1 mL/支 × 2支/組/盒 × 1,124盒",1124,950403,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,34244411A,990831.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 16,773盒",16773,950223,缺損 AD055006
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,34244431A,990831.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 3,368盒",3368,950223,
血液製劑類,世信生物科技股份有限公司,必凝易得 P,50065011C,960731.0,250 IU/瓶/盒,250 IU/瓶/盒 × 578盒,578,950127,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,安在時B型肝炎疫苗,"AHBVB203AH,AHBVB203A",970831.0,1mL/瓶 × 25瓶/盒,"1mL/瓶 × 25瓶/盒 × 2,128盒;8瓶/盒 × 1盒",53208,950312,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧,"AC14B022BF,AC14B022B",970531.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 7,670盒",7670,950331,
疫苗及類毒素類,行政院衛生署疾病管制局,明礬沉澱破傷風類毒素,TX209402,970209.0,20 mL/瓶 × 10瓶/盒,"20 mL/瓶 × 10瓶/盒 × 1,336盒;8瓶/盒 × 1盒",534720,950214,
血液製劑類,台灣綠十字股份有限公司,艾爾補定注射液25%,NB05028A,971018.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 9,708盒",9708,950302,A073509缺損
血液製劑類,禾利行股份有限公司,立保 B型肝炎抗體注射液,A153205,960831.0,10mL/瓶/盒,"10mL/瓶/盒 × 2,611盒",2611,950303,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,巴斯德b型嗜血桿菌接合疫苗,"Z0399-1,Z0399",970331.0,1劑/盒,"1劑/盒 × 15,070盒",15070,950307,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑,"G5338,0814R/0652102",961222.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 2,908盒",2908,950315,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,默克基因重組B型肝炎疫苗,"H0207,0975R/0653198",970907.0,1 mL/瓶 ×10瓶/盒,"1 mL/瓶 × 10瓶/盒 × 2,398盒;8瓶/盒 × 1盒",23988,950315,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,紐蒙肺多價性肺炎鏈球菌疫苗,"H0143,0756R/0653140",970218.0,0.5mL/瓶 × 10瓶/盒,"0.5mL × 10瓶/盒 × 1,885盒",18850,950314,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,唯德不活化A型肝炎疫苗,"H0397,0576R/0652642",970525.0,0.5 mL/瓶 × 10瓶/盒,"0.5 mL/瓶 × 10瓶/盒 × 1,382盒",13820,950315,
血液製劑類,寶隆貿易股份有限公司,百特抗血友病因子注射劑(單一同源純化),LA05M066AA,970417.0,586 IU/瓶/盒,586 IU/瓶/盒 × 966盒,966,950310,
疫苗及類毒素類,國光生物科技股份有限公司,國光明礬沉澱破傷風類毒素,TT504,961215.0,1 mL/瓶 × 10瓶/盒,"1 mL/瓶 × 10瓶/盒 × 2,395 盒 ; 8 瓶/盒 × 1 盒",47916,950424,
疫苗及類毒素類,國光生物科技股份有限公司,國光明礬沉澱破傷風類毒素,TT505,961215.0,1 mL/瓶 × 10瓶/盒,"1 mL/瓶 × 10瓶/盒 × 2,328盒；4瓶/盒 × 1盒",46568,950424,
疫苗及類毒素類,國光生物科技股份有限公司,國光明礬沉澱破傷風類毒素,TT506,961215.0,1 mL/瓶 × 10瓶/盒,"1 mL/瓶 × 10瓶/盒 × 2,316盒;4瓶/盒 × 1盒",46328,950424,
疫苗及類毒素類,國光生物科技股份有限公司,國光明礬沉澱破傷風類毒素,TT503,961215.0,1 mL/瓶 × 10瓶/盒,"1 mL/瓶 × 10瓶/盒 × 2,360盒; 4 瓶/盒 × 1盒",47208,950417,
其他生物藥品類,海喬國際股份有限公司,麗舒妥注射劑500單位,584B,960630.0,500 units/瓶/盒,"500 units/瓶/盒 × 1,948盒",1948,950316,
血液製劑類,寶隆貿易股份有限公司,百特威保500U抗抑制子凝血複合物,VNF1A030,961130.0,500 U/瓶/盒,"500 U/瓶/盒 × 1,460盒",1460,950310,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,康諾吸附白喉、破傷風、無細胞性百日咳疫苗,C1997AA,960531.0,0.5 mL/瓶 × 5瓶/盒,0.5 mL/瓶 × 5瓶/盒 × 470盒,2350,950307,
血液製劑類,海喬國際股份有限公司,愛替治注射劑,S10L-2,960930.0,5 mL/瓶,5 mL/瓶 x 500瓶,500,950313,缺一張
血液製劑類,瑪里士實業有限公司,瑪里斯兔抗胸腺細胞免疫球蛋白,TH134-04,970731.0,5mL/瓶/盒,5 mL/瓶/盒 × 295盒,295,950308,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,瑪里斯白喉、百日咳、破傷風混合疫苗,"Z5548-1,Z5548",970331.0,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒 × 49中盒;0.5 mL/瓶 × 20瓶/盒 × 4盒,9880,950419,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,瑪里斯白喉、百日咳、破傷風混合疫苗,"Z5759-1,Z5759",970531.0,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒 × 534中盒;0.5 mL/瓶 × 20瓶/盒 × 9盒,106980,950419,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,瑪里斯白喉、百日咳、破傷風混合疫苗,"Z5320-1, Z5320",970228.0,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒 × 66中盒,13200,950419,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,瑪里斯白喉、百日咳、破傷風混合疫苗,"Z5694-1,Z5694",970531.0,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒 × 92中盒;0.5 mL/瓶 × 20瓶/盒 × 4盒,18480,950419,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,瑪里斯白喉、百日咳、破傷風混合疫苗,"Z5758-1,Z5758",970531.0,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒,0.5 mL/瓶 × 20瓶/盒 × 10盒/中盒 × 80中盒;0.5 mL/瓶 × 20瓶/盒 × 3盒,16060,950419,
血液製劑類,上合貿易股份有限公司,貝靈克療丙注射劑,23340321H,970731.0,2 mL/瓶/盒,"2 mL/瓶/盒 × 9,962盒",9962,950323,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,34544411E,990930.0,50 mL/瓶/盒,"50mL/瓶/盒 X 4,986盒",4986,950309,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,35144411C,990930.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 19,986盒",19986,950309,封條AD149999破損，補AD185325。
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,賀百克B型流行感冒嗜血桿菌疫苗,"A72CA170A, A72FA170A/AHIBB382A",970930.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 10,530盒",10530,950406,缺損AD299999
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB065FD,AHAVB065F",970731.0,1mL/瓶/盒,"1mL/瓶/盒 × 5,188盒",5188,950403,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,雙肝克(A型及B型肝炎疫苗),"AHABB062BF,AHABB062B",970930.0,1 mL/支/盒,"1 mL/支/盒 × 1,778盒",1778,950327,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB081AC, AHAVB081A",970630.0,0.5 mL/瓶/盒,"0.5 mL/瓶/盒 × 5,140盒",5140,950406,
血液製劑類,台灣拜耳股份有限公司,B型肝炎免疫人血球蛋白注射液,26N70P1,970916.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 10,800盒",10800,950310,
血液製劑類,瑪里士實業有限公司,瑪里斯兔抗胸腺細胞免疫球蛋白,TH135-03,970731.0,5mL/瓶/盒,5mL/瓶/盒 × 595盒,595,950308,
血液製劑類,台灣拜耳股份有限公司,血漿注射劑,26N6TW1,991003.0,250 mL/瓶/盒,"250mL/瓶/盒 X 1,987盒",1987,950314,
血液製劑類,台灣拜耳股份有限公司,白蛋白注射劑,26N6PC1,970831.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 22,143盒",22143,950414,
血液製劑類,台灣拜耳股份有限公司,白蛋白注射劑,26N7111,971203.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 22,078盒",22078,950420,
血液製劑類,台灣拜耳股份有限公司,白蛋白注射劑,26N7131,971204.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 5,737盒",5737,950420,
血液製劑類,台灣綠十字股份有限公司,艾爾補定注射液20%,NC05047A,971103.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 4,996盒",4996,950317,
血液製劑類,禾利行股份有限公司,百合血清蛋白,A121035,970131.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 1,172盒",1172,950403,
血液製劑類,寶隆貿易股份有限公司,百特25%人體正常血清白蛋白注射劑,LA05D089AA,961007.0,50 mL/瓶,"50 mL/瓶 × 12,407瓶",12407,950324,
血液製劑類,寶隆貿易股份有限公司,百特25%人體正常血清白蛋白注射劑,LA05D090AA,961028.0,50 mL/瓶,"50 mL/瓶 × 4,565瓶",4565,950324,
血液製劑類,台灣拜耳股份有限公司,血凝素第八因子注射劑（人類）250IU,26N6LC1,960826.0,220 IU/瓶/盒,220 IU/瓶/盒 × 432盒,432,950420,
血液製劑類,台灣拜耳股份有限公司,5%免疫球蛋白靜脈注射液,26N45G1,960125.0,50mL/瓶/盒,"50 mL/瓶/盒 × 1,678盒",1678,950414,
血液製劑類,台灣拜耳股份有限公司,5%免疫球蛋白靜脈注射液,26N4G91,960328.0,50mL/瓶/盒,"50 mL/瓶/盒 × 17,713盒",17713,950414,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,紐蒙肺多價性肺炎鏈球菌疫苗,"H0619,0757R/0653141",970218.0,0.5mL/瓶 × 10瓶/盒,"0.5 mL/瓶 × 10 瓶/盒 × 2,831盒",28310,950411,
血液製劑類,台灣拜耳股份有限公司,B型肝炎免疫人血球蛋白注射液,26N69T1,970408.0,1 mL/瓶/盒,1 mL/瓶/盒 × 300盒,300,950320,緊急放行
血液製劑類,台灣拜耳股份有限公司,B型肝炎免疫人血球蛋白注射液,26N69T1,970408.0,1 mL/瓶/盒,"1 mL/瓶/盒 × 2,590盒",2590,950419,
血液製劑類,台灣拜耳股份有限公司,B型肝炎免疫人血球蛋白注射液,26N6C41,970408.0,5 mL/瓶/盒,"5 mL/瓶/盒 × 1,156盒",1156,950324,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,瑪里斯沙賓小兒麻痺口服疫苗,"Z5995-1, Z5995",960630.0,1 mL/瓶 × 10 瓶/盒 × 20 盒/中盒,1 mL/瓶 × 10 瓶/盒 × 20 盒/中盒 × 563 中盒; 1 mL/瓶 × 10 瓶/盒 × 17 盒,1127700,950419,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑,"H0587,0922R/0652240",970213.0,0.5 mL/瓶 × 10瓶/盒,"0.5 mL/瓶 × 10瓶/盒 × 11,854盒",118540,950502,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,麻疹、腮腺炎及德國麻疹三種混合疫苗注射劑,"H0588,1043R/0652621",970213.0,0.5 mL/瓶 × 10瓶/盒,"0.5 mL/瓶 × 10瓶/盒 × 2,184盒",21840,950502,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,伏痘敏活性水痘疫苗,"H0621,0472R/0651650",970124.0,1劑/瓶 × 10瓶/盒,"1劑/瓶 × 10瓶/盒 × 3,177盒",31770,950504,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,伏痘敏活性水痘疫苗,"H0620,0964R/0651990",970214.0,1劑/瓶 ×10瓶/盒,"1劑/瓶 × 10瓶/盒 × 1,440盒",14400,950529,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,伏痘敏活性水痘疫苗,"H0622,1199R/0652489",970214.0,1劑/瓶 ×10瓶/盒,"1劑/瓶 × 10瓶/盒 × 3,347盒",33470,950525,
疫苗及類毒素類,美商默沙東藥廠股份有限公司台灣分公司,伏痘敏活性水痘疫苗,"H0814,0021F/0653440",970228.0,1劑/瓶 ×10瓶/盒,1劑/瓶 × 10瓶/盒 × 42盒,420,950504,
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C1412C2,970831.0,100 units/瓶/盒,"100 units/瓶/盒 × 3,481盒",3481,950411,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,瑪里斯沙賓小兒麻痺口服疫苗,"Z6507-1, Z6507",961031.0,1 mL/瓶 × 10 瓶/盒 × 20盒/中盒,1 mL/瓶 × 10 瓶/盒 × 20 盒/中盒 × 86中盒; 1 mL/瓶 × 10瓶/盒 × 5 盒,172500,950419,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB064AE,AHAVB064A",970131.0,0.5 mL/瓶/盒,"0.5 mL/瓶/盒 × 5,710盒",5710,950503,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,安在時B型肝炎疫苗,"AHBVB212AB,AHBVB212A",970930.0,1 mL/瓶 × 25瓶/盒,"1 mL/瓶 × 25瓶/盒 × 1,735盒;8瓶/盒 × 1盒",43383,950503,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧,"AC14B028AA,AC14B028A",970831.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 21,110盒",21110,950511,缺AD599999，共計1張
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗),"A20CA223B,A20LA223B/A20FA223B",970930.0,1劑/盒,"1劑/盒 × 22,885盒",22885,950511,
疫苗及類毒素類,國光生物科技股份有限公司,國光明礬沉澱破傷風類毒素,TT507,961215.0,1 mL/瓶 × 10瓶/盒,"1 mL/瓶 × 10瓶/盒 × 2,278盒; 3瓶/盒 × 1盒",45566,950601,
疫苗及類毒素類,國光生物科技股份有限公司,國光明礬沉澱破傷風類毒素,TT508,961215.0,1 mL/瓶 × 10瓶/盒,"1 mL/瓶 × 10瓶/盒 × 2,328盒;4瓶/盒 × 1盒",46568,950601,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,35844411A,991031.0,50 mL/瓶/盒,"50 mL/瓶/盒x19,986盒",19986,950410,
血液製劑類,吉發企業股份有限公司,貝靈B型肝炎免疫球蛋白注射液,04946811C,961031.0,1 mL/瓶/盒,1 mL/瓶/盒 × 330盒,330,950412,
血液製劑類,百特醫療產品股份有限公司,百特組織修復凝合劑,VND2A041,961130.0,1 mL/支 × 2支/組/盒,"1 mL/支 × 2支/組/盒 × 1,124盒",1124,950505,
疫苗及類毒素類,行政院衛生署疾病管制局,吸著白喉、破傷風混合類毒素,DT039401,970424.0,3 mL/瓶 × 10 瓶/盒,3 mL/瓶 × 10 瓶/盒 × 639 盒；3 mL/瓶 × 5 瓶,38370,950606,
疫苗及類毒素類,行政院衛生署疾病管制局,吸著破傷風白喉混合類毒素(成人用),Td039402,970501.0,3 mL/瓶 × 10瓶/盒,"3 mL/瓶 × 10 瓶/盒 × 2,012盒;3 mL/瓶 × 5 瓶",120750,950602,
疫苗及類毒素類,行政院衛生署疾病管制局,吸著破傷風白喉混合類毒素(成人用),Td209401,970508.0,20 mL/瓶 × 10 瓶/盒,"20 mL/瓶 × 10 瓶/盒 × 1,023 盒; 20 mL/瓶 × 8 瓶",409520,950602,AD672461缺號，AD672455破損。
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,賀百克B型流行感冒嗜血桿菌疫苗,"A72CA170F, A72FA170F/AHIBB382A",970930.0,1 劑/瓶/盒,"1 劑/瓶/盒 × 13,585 盒",13585,950420,
血液製劑類,世信生物科技股份有限公司,必凝易得 P,50065011M,960731.0,250 IU/瓶/盒,"250 IU/瓶/盒 × 1,178盒",1178,950428,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,安在時B型肝炎疫苗,"AHBVB216AA, AHBVB216A",970930.0,1 mL/瓶 × 100 瓶/盒,1 mL/瓶 × 100 瓶/盒 × 2000盒；58 瓶/盒 × 1盒,200058,950503,
血液製劑類,瑪里士實業有限公司,瑪里斯兔抗胸腺細胞免疫球蛋白,TH139-02,970930.0,5mL/瓶/盒,5mL/瓶/盒 × 865盒,865,950412,缺損：AD377017
疫苗及類毒素類,美商惠氏藥廠(亞洲)股份有限公司台灣分公司,沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑,"20232,B08644C",971116.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 19,825盒",19825,950622,
疫苗及類毒素類,美商惠氏藥廠(亞洲)股份有限公司台灣分公司,沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑,"20232,B08644C",971116.0,0.5 mL/支/盒,"0.5 mL/支/盒 × 19,820盒",19820,950622,缺AD889999一張
疫苗及類毒素類,台灣安萬特藥品股份有限公司,巴斯德瑪里斯小兒麻痺注射疫苗,"Z0060-1,Z0060",961231.0,0.5mL/支/盒,"0.5mL/支/盒 × 1,200盒",1200,950419,
血液製劑類,寶隆貿易股份有限公司,百特25%人體正常血清白蛋白注射劑,LA06D027AA,970217.0,50 mL/瓶,"50 mL/瓶 × 17,688瓶",17688,950504,缺AD450999
血液製劑類,台灣綠十字股份有限公司,艾爾補定注射液25%,NB06001A,980112.0,50 mL/瓶/盒,"50 mL/瓶/盒X9,597盒",9597,950504,
血液製劑類,寶隆貿易股份有限公司,百特25%人體正常血清白蛋白注射劑,LA06D022AA,970226.0,50 mL/瓶,"50 mL/瓶 × 17,910瓶",17910,950501,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,36544411A,991130.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 19,986盒",19986,950426,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,36544411C,991130.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 11,160盒",11160,950504,
血液製劑類,上合貿易股份有限公司,貝靈血清蛋白注射液20%,36644431A,991130.0,50 mL/瓶/盒,"50 mL/瓶/盒 × 8,820盒",8820,950426,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,康諾吸附白喉、破傷風、無細胞性百日咳疫苗,C2516AA,971130.0,0.5 mL/瓶 × 5瓶/盒,"0.5mL/瓶 × 5瓶/盒 × 19,940盒",99700,950613,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,巴斯德五合一疫苗(白喉、百日咳、破傷風、小兒麻痺及b型流行性感冒嗜血桿菌疫苗）,C2401AD,970430.0,0.5 mL/瓶/盒,"0.5 mL/瓶/盒 × 130,580盒",130580,950615,
疫苗及類毒素類,行政院衛生署疾病管制局,明礬沉澱破傷風類毒素,TX209403,970515.0,20 mL/瓶 × 10 瓶/盒,"20 mL/瓶 × 10 瓶/盒 × 904 盒, 20 mL/瓶 × 4 瓶",361760,950703,
疫苗及類毒素類,行政院衛生署疾病管制局,霍亂疫苗,VC209501,960502.0,20 mL/瓶 × 10瓶/盒,"20 mL/瓶 × 10瓶/盒 × 408盒, 20 mL/瓶 × 1瓶",106106,950519,
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C1441 C2,970930.0,100 uits/瓶/盒,"100 uits/瓶/盒 × 7,082 盒",7082,950601,
其他生物藥品類,香港商愛力根有限公司台灣分公司,愛力根保妥適乾粉注射劑,C1412C2,970831.0,100 units/瓶/盒,"100 units/瓶/盒 × 3,291盒",3291,950502,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,嬰護寧六合一疫苗,"A21CA186A, A21LA186A/A21FA186A",970331.0,1 劑/盒,"1 劑/盒 × 28,470 盒",28470,950711,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,愛爾德口服小兒麻痺疫苗I+II+III,"AOPVB358AA,AOPVB358A",961231.0,10劑/瓶 ×100瓶/盒,10劑/瓶 ×100瓶/盒 × 47盒；80瓶/盒 × 1盒,47800,950602,
其他生物藥品類,海喬國際股份有限公司,麗舒妥注射劑500單位,593T,960930.0,500 units/瓶/盒,"500 units/瓶/盒 × 1,948盒",1948,950606,
疫苗及類毒素類,台灣安萬特藥品股份有限公司,黃熱病疫苗,"Z6353-2, Z6353",970930.0,1 劑/支/盒,"1 劑/支/盒 × 2,000 盒",2000,950516,
血液製劑類,台灣拜耳股份有限公司,破傷風預防注射劑 250 Units,26N5991,960827.0,1 mL/支/盒,1 mL/支/盒 × 80盒,80,950517,
疫苗及類毒素類,荷商葛蘭素史克藥廠股份有限公司台灣分公司,新赫寶克,"AHAVB098CB,AHAVB098C",971231.0,0.5 mL/瓶/盒,"0.5 mL/瓶/盒 × 5,170盒",5170,950602,
血液製劑類,台灣綠十字股份有限公司,基立福乾燥抗血友病第八因子注射劑250國際單位,AS06003A,970111.0,250 IU/瓶/盒,"250 IU/瓶/盒 × 1,450盒",1450,950612,
